CWNS Number,Facility/Project Name,Discharge Method,Present Discharge,Present Flow %,Present Discharge To Facility,Present Discharge To Facility Name,Present Effluent Treatment Level,Present Disinfection,Present BOD Removal,Present Nitrogen Removal,Present Phosphorous Removal,Present Ammonia Removal,Projected Discharge,Projected Flow %,Projected Discharge To Facility,Projected Discharge To Facility Name,Projected Effluent Treatment Level,Projected Disinfection,Projected BOD Removal,Projected Nitrogen Removal,Projected Phosphorous Removal,Projected Ammonia Removal,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
01000002001,AKRON LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0059714,Individual Permit,Town of Akron,Hale,Lower Black Warrior,03160113,7th Congressional District,AL,4,MAP
01000003001,ALABASTER WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,100,,,Advanced Treatment,N,Y,,Y,,AL0025828,Individual Permit,City of Alabaster,Shelby,Cahaba,03150202,6th Congressional District,AL,4,MAP
01000004001,ALEXANDER CITY SUGAR CREEK WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,100,,,Advanced Treatment,N,Y,,,,AL0048861,Individual Permit,ALEXANDER CITY SUGAR CK WWTP,Tallapoosa,Middle Tallapoosa,03150109,3rd Congressional District,AL,4,MAP
01000004002,ALEXANDER CITY COLEY CREEK WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0021156,Individual Permit,Alexander City Wastewater Treatment,Tallapoosa,Middle Tallapoosa,03150109,3rd Congressional District,AL,4,MAP
01000005001,ALTOONA LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,Y,,,,,Y,100,,,Secondary,Y,,,,,AL0021237,Individual Permit,Altoona Water & Sewer Board,Etowah,Locust,03160111,4th Congressional District,AL,4,MAP
01000006004,ANDALUSIA RIVERSIDE WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,Y,,Y,Y,100,,,Advanced Treatment,N,Y,Y,Y,Y,AL0055417,Individual Permit,ANDALUSIA RIVERSIDE WWTP,Covington,Upper Conecuh,03140301,2nd Congressional District,AL,4,MAP
01000007001,ANNISTON CHOCCOLOCCO WWTP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,AL0022195,Individual Permit,CITY OF ANNISTON WW & SB,Calhoun,Middle Coosa,03150106,3rd Congressional District,AL,4,MAP
01000007002,ANNISTON FT. MCCLELLAN WWTP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,AL0024520,Individual Permit,CITY OF ANNISTON WW & SB,Calhoun,Middle Coosa,03150106,3rd Congressional District,AL,4,MAP
01000009001,ARAB RILEY MAZE CREEK WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0020303,Individual Permit,City of Arab Sewer Board,Marshall,Mulberry,03160109,4th Congressional District,AL,4,MAP
01000009002,ARAB GILLIAM CREEK WWTP,Outfall To Surface Waters,Y,100,,,Secondary,Y,,,,,Y,100,,,Secondary,Y,,,,,AL0056626,Individual Permit,City of Arab Sewer Board,Marshall,Wheeler Lake,06030002,4th Congressional District,AL,4,MAP
01000010001,ARDMORE WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,Y,Y,100,,,Advanced Treatment,N,Y,,,Y,AL0023329,Individual Permit,CITY OF ARDMORE,Limestone,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
01000011001,ASHFORD WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,AL0057878,Individual Permit,CITY OF ASHFORD,Houston,Chipola,03130012,2nd Congressional District,AL,4,MAP
01000012001,ATHENS WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,Y,Y,,,,Y,100,,,Advanced Treatment,Y,Y,,Y,,AL0020206,Individual Permit,City of Athens,Limestone,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
01000013001,ATTALLA LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,Y,,,,,Y,100,,,Advanced Treatment,Y,,,Y,,AL0057657,Individual Permit,City of Attalla,Etowah,Middle Coosa,03150106,4th Congressional District,AL,4,MAP
01000014001,AUBURN H C MORGAN WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,Y,,Y,Y,100,,,Advanced Treatment,Y,Y,Y,Y,Y,AL0050237,Individual Permit,City of Auburn,Lee,Lower Tallapoosa,03150110,3rd Congressional District,AL,4,MAP
01000014002,AUBURN NORTHSIDE WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,Y,,Y,100,,,Advanced Treatment,N,Y,,Y,,AL0050245,Individual Permit,City of Auburn,Lee,Lower Tallapoosa,03150110,3rd Congressional District,AL,4,MAP
01000015001,AUTAUGAVILLE WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0057720,Individual Permit,Town of Autaugaville,Autauga,Upper Alabama,03150201,2nd Congressional District,AL,4,MAP
01000016001,HARRY STILL SR. WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,100,,,Advanced Treatment,N,Y,,,,AL0049867,Individual Permit,North Baldwin Utilities,Baldwin,Perdido,03140106,1st Congressional District,AL,4,MAP
01000016002,Westside WWTP,Discharge To Another Facility,Y,100,1000016001,HARRY STILL SR. WWTP,Secondary,N,,,,,Y,100,1000016001,HARRY STILL SR. WWTP,Secondary,N,,,,,AL0027448,Individual Permit,North Baldwin Utilities,Baldwin,Mobile - Tensaw,03160204,1st Congressional District,AL,4,MAP
01000017001,BAYOU LA BATRE WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0022632,Individual Permit,Bayou La Batre Utilities Board,Mobile,Mississippi Coastal,03170009,1st Congressional District,AL,4,MAP
01000021001,BOAZ SLAB CREEK WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0049603,Individual Permit,Boaz Water & Sewer Board,Marshall,Locust,03160111,4th Congressional District,AL,4,MAP
01000023001,BREWTON LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0023825,Individual Permit,"BREWTON,CITY OF",Escambia,Lower Conecuh,03140304,1st Congressional District,AL,4,MAP
01000023002,NORTH BREWTON LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0073580,Individual Permit,NORTH BREWTON LAGOON,Escambia,Lower Conecuh,03140304,1st Congressional District,AL,4,MAP
01000023390,BURWELL ROAD WWTP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,Y,,Y,,,,Advanced Treatment,N,Y,,Y,,AL0070947,Individual Permit,Harvest-Monrovia Water & Fire Protection Authority,Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
01000027001,Calera WWTP Buxahatchee Creek,Outfall To Surface Waters,Y,100,,,Advanced Treatment,Y,Y,,,Y,Y,100,,,Advanced Treatment,Y,Y,,Y,Y,AL0050938,Individual Permit,City of Calera,Shelby,Lower Coosa,03150107,6th Congressional District,AL,4,MAP
01000027002,Calera Northside WWTP - Camp Branch,Outfall To Surface Waters,Y,100,,,Secondary,Y,,,,,Y,100,,,Advanced Treatment,Y,Y,,Y,,AL0074608,Individual Permit,City of Calera,Shelby,Lower Coosa,03150107,6th Congressional District,AL,4,MAP
