"CWNS_ID","FACILITY_ID","STATE_CODE","HUC","WATERSHED_NAME","WATERSHED_PRIMARY_FLAG"
"42004081002",1196300,PA,"02050201",Upper West Branch Susquehanna,Y
"39000279001",1080694,OH,"04100011",Sandusky,Y
"39000350001",1080760,OH,"04100010",Cedar-Portage,Y
"39006776001",1081488,OH,"04100010",Cedar-Portage,Y
"36008074001",1221269,NY,"04140201",Seneca,Y
"31002355001",1230263,NE,"10200101",Middle Platte-Buffalo,Y
"54005001001",1095277,WV,"05090102",Twelvepole,Y
"05000585001",1105385,AR,"08040201",Lower Ouachita-Smackover,Y
"24070075001",3093738,MD,"02070004",Conococheague-Opequon,Y
"31001703001",1145983,NE,"10240001",Keg-Weeping Water,Y
"23000105001",1142544,ME,"01010004",Aroostook,Y
"55004924002",1206679,WI,"07120006",Upper Fox,Y
"55009620001",1206897,WI,"07060005",Apple-Plum,Y
"36008201002",1221316,NY,"04140201",Seneca,Y
"34001223021",2839520,NJ,"02030103",Hackensack-Passaic,Y
"40000776001",1172863,OK,"11100302",Lower North Canadian,Y
"53002595001",1181093,WA,"17110004",Nooksack,Y
"04002801005",3121869,AZ,"15060106",Lower Salt,Y
"12000701036",3501060,FL,"03120001",Apalachee Bay-St. Marks,Y
"34001349001",1073437,NJ,"02030103",Hackensack-Passaic,Y
"39008639001",1081656,OH,"04110002",Cuyahoga,Y
"51000257011",1192881,VA,"02070005",South Fork Shenandoah,Y
"08000500048",1067185,CO,"14010005",Colorado Headwaters-Plateau,Y
"39000985001",1080854,OH,"04110002",Cuyahoga,Y
"16000057001",1128606,ID,"17050114",Lower Boise,Y
"55002060001",1206278,WI,"04030201",Upper Fox,Y
"55004730001",1229243,WI,"04010201",St. Louis,Y
"36005054001",1232134,NY,"02010008",Lake Champlain,Y
"01201200004",3540156,AL,"03150110",Lower Tallapoosa,Y
"27000344001",1148165,MN,"07010203",Clearwater-Elk,Y
"37002313114",2932303,NC,"03050105",Upper Broad,Y
"44000015003",411996,RI,"01090004",Narragansett,Y
"27044000132",425287,MN,"07040002",Cannon,Y
"20002004087",448660,KS,"10270103",Delaware,Y
"12000001055",457111,FL,"03090206",Florida Southeast Coast,Y
"37009701001",1153795,NC,"03040101",Upper Yadkin,Y
"08209000128",3500280,CO,"11020003",Fountain,Y
"22003156001",1168416,LA,"08090302",West Central Louisiana Coastal,Y
"40000394001",1172660,OK,"11140103",Muddy Boggy,Y
"08000216001",1067008,CO,"14080104",Animas,Y
"34003503001",1073667,NJ,"02040105",Middle Delaware-Musconetcong,Y
"12000303001",1078410,FL,"03080103",Lower St. Johns,Y
"29002041001",1133652,MO,"10240011",Independence-Sugar,Y
"22000885001",1168239,LA,"11140203",Loggy Bayou,Y
"50000150002",1094161,VT,"02010002",Otter,Y
"54002716001",1095017,WV,"05050002",Middle New,Y
"33000078002",1100968,NH,"01070006",Merrimack River (Legacy),Y
"36003102001",1220529,NY,"02040104",Middle Delaware-Mongaup-Brodhead,Y
"22000005001",1237404,LA,"08080103",Vermilion,Y
"39010930001",2813948,OH,"04110001",Black-Rocky,Y
"31000226001",3348510,NE,"10170101",Lewis And Clark Lake,Y
"08209000008",3500159,CO,"10190012",Middle South Platte-Sterling,Y
"12000286002",3508368,FL,"03090102",Northern Okeechobee Inflow,Y
"39005051023",3520920,OH,"05040001",Tuscarawas,Y
"08201200029",3528677,CO,"11020004",Chico,Y
"40000118001",1172531,OK,"11100303",Deep Fork,Y
"42005084001",1196584,PA,"05020006",Youghiogheny,Y
"08209000079",3500231,CO,"10190005",St. Vrain,Y
"39000081019",3521076,OH,"05040001",Tuscarawas,Y
"08201200064",3529956,CO,"11020005",Upper Arkansas-Lake Meredith,Y
"26007003044",3539185,MI,"04050004",Upper Grand,Y
"34004267011",442604,NJ,"02040302",Great Egg Harbor,Y
"39010250001",1065970,OH,"05090202",Little Miami,Y
"39007910001",1081568,OH,"05030101",Upper Ohio,Y
"01000023001",1101851,AL,"03140304",Lower Conecuh,Y
"17000226001",1113501,IL,"07090005",Lower Rock,Y
"37006301001",1153534,NC,"03030004",Upper Cape Fear,Y
"41000310001",1164500,OR,"17100303",Umpqua,Y
"36001015026",1220280,NY,"02030202",Southern Long Island,Y
"36003026001",1220380,NY,"02020006",Middle Hudson,Y
"36009012001",1221346,NY,"04130002",Upper Genesee,Y
"22003310001",1237433,LA,"08080102",Bayou Teche,Y
"18000008008",417708,IN,"05120201",Upper White,Y
"29004038001",1134063,MO,"10280103",Lower Grand,Y
"38000246001",1151486,ND,"10110101",Lake Sakakawea,Y
"42002221001",1195934,PA,"02050104",Tioga,Y
"55002810001",1206386,WI,"04030101",Manitowoc-Sheboygan,Y
"36009116001",1221468,NY,"04120104",Niagara,Y
"34001237011",3037048,NJ,"02030103",Hackensack-Passaic,Y
"12000172020",3532476,FL,"03080201",Daytona - St. Augustine,Y
"34004150011",442394,NJ,"02040302",Great Egg Harbor,Y
"34004445001",1073729,NJ,"02040301",Mullica-Toms,Y
"26000562001",1088595,MI,"04090003",Clinton,Y
"33000033001",1100929,NH,"01080104",Upper Connecticut-Mascoma,Y
"29003436001",1133959,MO,"07110001",Bear-Wyaconda,Y
"29001024003",1133294,MO,"10300103",Lamine,Y
"29002344001",1133792,MO,"10280103",Lower Grand,Y
"40000697001",1172828,OK,"11070206",Lake O' The Cherokees,Y
"12000113001",1078257,FL,"03090205",Caloosahatchee,Y
"54002505002",1094989,WV,"05030106",Upper Ohio-Wheeling,Y
