"CWNS_ID","FACILITY_ID","STATE_CODE","COST_METHOD","FACILITY_DOCUMENT_CET_ID","FACILITY_DOCUMENT_COST_ID","CONSTRUCTION_TYPE","SIZING_METHOD","COUNTY_ID","COUNTY_NAME","NUM_HOME_SERVED","POP_SERVED","POP_PER_HOUSEHOLD"
"41000000170",3610787,OR,Decentralized,5263,23904,Replace,Number of Homes Served,2172,Josephine,100,,2.34
"41000000176",3610802,OR,Decentralized,5283,24059,Replace,Number of Homes Served,2173,Klamath,103,,2.36
"41000262001",1164474,OR,Decentralized,5282,24034,Replace,Number of Homes Served,2176,Lincoln,138,,2.25
"41000000173",3610790,OR,Decentralized,5266,23908,Replace,Number of Homes Served,2178,Malheur,36,,2.65
"41000000174",3610791,OR,Decentralized,5267,23909,Replace,Number of Homes Served,2179,Marion,201,,2.79
"41000000175",3610796,OR,Decentralized,5281,24022,Replace,Number of Homes Served,2180,Morrow,14,,2.74
"41000000171",3610788,OR,Decentralized,5264,23906,Replace,Number of Homes Served,2181,Multnomah,44,,2.41
"41000000179",3610818,OR,Decentralized,5304,24220,Replace,Number of Homes Served,2182,Polk,35,,2.68
"41000000181",3610911,OR,Decentralized,5461,24580,Replace,Number of Homes Served,2184,Tillamook,79,,2.39
"41000000183",3611037,OR,Decentralized,5716,24827,Replace,Number of Homes Served,2189,Washington,72,,2.66
"41000000163",3610597,OR,Decentralized,4884,22209,Replace,Number of Homes Served,2190,Wheeler,5,,2.18
"41000000172",3610789,OR,Decentralized,5265,23907,Replace,Number of Homes Served,2191,Yamhill,73,,2.7
"45000000090",3608887,SC,Decentralized,3122,13891,New,Number of Homes Served,2260,Abbeville,1116,,2.46
"45000000091",3608888,SC,Decentralized,3123,13892,New,Number of Homes Served,2261,Aiken,10364,,2.45
"45000000092",3608889,SC,Decentralized,3141,13893,New,Number of Homes Served,2262,Allendale,250,,2.35
"45000000093",3608890,SC,Decentralized,3180,13894,New,Number of Homes Served,2263,Anderson,8128,,2.55
"45000000094",3608891,SC,Decentralized,3181,14061,New,Number of Homes Served,2264,Bamberg,450,,2.49
"45000000095",3608892,SC,Decentralized,3182,14062,New,Number of Homes Served,2265,Barnwell,1003,,2.52
"45000000096",3608893,SC,Decentralized,3183,14063,New,Number of Homes Served,2266,Beaufort,2455,,2.53
"45000000097",3608894,SC,Decentralized,3184,14064,New,Number of Homes Served,2267,Berkeley,3666,,2.75
"45000000098",3608895,SC,Decentralized,3185,14065,New,Number of Homes Served,2268,Calhoun,1011,,2.34
"45000000099",3608896,SC,Decentralized,3202,14211,New,Number of Homes Served,2269,Charleston,3728,,2.45
"45000000100",3608897,SC,Decentralized,3203,14212,New,Number of Homes Served,2270,Cherokee,2831,,2.71
"45000000101",3608898,SC,Decentralized,3204,14213,New,Number of Homes Served,2271,Chester,1185,,2.54
"45000000102",3608899,SC,Decentralized,3205,14214,New,Number of Homes Served,2272,Chesterfield,2168,,2.52
"45000000103",3608900,SC,Decentralized,3206,14215,New,Number of Homes Served,2273,Clarendon,1899,,2.47
"45000000104",3608901,SC,Decentralized,3207,14224,New,Number of Homes Served,2274,Colleton,2793,,2.45
"45000000105",3608902,SC,Decentralized,3208,14225,New,Number of Homes Served,2275,Darlington,2548,,2.48
"45000000106",3608903,SC,Decentralized,3209,14226,New,Number of Homes Served,2276,Dillon,1260,,2.75
"45000000107",3608904,SC,Decentralized,3210,14227,New,Number of Homes Served,2277,Dorchester,1391,,2.83
"45000000108",3608905,SC,Decentralized,3211,14230,New,Number of Homes Served,2278,Edgefield,1978,,2.64
"45000000109",3608906,SC,Decentralized,3212,14236,New,Number of Homes Served,2279,Fairfield,986,,2.42
"45000000110",3608907,SC,Decentralized,3213,14237,New,Number of Homes Served,2280,Florence,2864,,2.6
"45000000111",3608909,SC,Decentralized,3214,14238,New,Number of Homes Served,2281,Georgetown,1086,,2.41
"45000000112",3608910,SC,Decentralized,3215,14242,New,Number of Homes Served,2282,Greenville,11346,,2.57
"45000000113",3608911,SC,Decentralized,3216,14244,New,Number of Homes Served,2283,Greenwood,1185,,2.46
"45000000114",3608912,SC,Decentralized,3217,14250,New,Number of Homes Served,2284,Hampton,924,,2.61
"45000000115",3608913,SC,Decentralized,3218,14251,New,Number of Homes Served,2285,Horry,5513,,2.5
"45000000116",3608914,SC,Decentralized,3219,14252,New,Number of Homes Served,2286,Jasper,1270,,2.74
"45000000117",3608915,SC,Decentralized,3220,14258,New,Number of Homes Served,2287,Kershaw,4494,,2.59
"45000000118",3608916,SC,Decentralized,3221,14259,New,Number of Homes Served,2288,Lancaster,2639,,2.66
"45000000119",3608917,SC,Decentralized,3241,14277,New,Number of Homes Served,2289,Laurens,3138,,2.52
"45000000120",3608918,SC,Decentralized,3242,14281,New,Number of Homes Served,2290,Lee,780,,2.47
"45000000121",3608919,SC,Decentralized,3244,14335,New,Number of Homes Served,2291,Lexington,9735,,2.54
"45000000124",3608923,SC,Decentralized,3247,14338,New,Number of Homes Served,2292,McCormick,329,,2.11
"45000000122",3608921,SC,Decentralized,3245,14336,New,Number of Homes Served,2293,Marion,943,,2.69
"45000000123",3608922,SC,Decentralized,3246,14337,New,Number of Homes Served,2294,Marlboro,680,,2.49
"45000000125",3608924,SC,Decentralized,3248,14339,New,Number of Homes Served,2295,Newberry,1999,,2.5
"45000000126",3608925,SC,Decentralized,3251,14344,New,Number of Homes Served,2296,Oconee,6468,,2.4
"45000000127",3608926,SC,Decentralized,3252,14345,New,Number of Homes Served,2297,Orangeburg,3695,,2.57
"45000000128",3608927,SC,Decentralized,3253,14346,New,Number of Homes Served,2298,Pickens,4870,,2.45
"45000000129",3608928,SC,Decentralized,3254,14347,New,Number of Homes Served,2299,Richland,1855,,2.51
"45000000130",3608929,SC,Decentralized,3255,14349,New,Number of Homes Served,2300,Saluda,1110,,2.81
"45000000131",3608930,SC,Decentralized,3257,14351,New,Number of Homes Served,2301,Spartanburg,13395,,2.57
"45000000132",3608931,SC,Decentralized,3258,14352,New,Number of Homes Served,2302,Sumter,3485,,2.5
"45000000133",3608932,SC,Decentralized,3259,14353,New,Number of Homes Served,2303,Union,828,,2.36
"45000000134",3608933,SC,Decentralized,3260,14354,New,Number of Homes Served,2304,Williamsburg,1408,,2.35
"45000000135",3608934,SC,Decentralized,3261,14355,New,Number of Homes Served,2305,York,8394,,2.59
"48000000125",3609650,TX,Decentralized,10565,51580,New,Number of Homes Served,2462,Anderson,2060,,2.66
"48000000428",3613888,TX,Decentralized,10584,51823,New,Number of Homes Served,2463,Andrews,1336,,3.22
"48000000429",3613890,TX,Decentralized,10585,51834,New,Number of Homes Served,2464,Angelina,6336,,2.72
"48000000430",3613891,TX,Decentralized,10586,51844,New,Number of Homes Served,2465,Aransas,4712,,2.52
"48000000431",3613892,TX,Decentralized,10587,51855,New,Number of Homes Served,2466,Archer,684,,2.5
"48000000432",3613893,TX,Decentralized,10589,51921,New,Number of Homes Served,2468,Atascosa,6880,,3.16
"48000000434",3613895,TX,Decentralized,10590,51923,New,Number of Homes Served,2469,Austin,4380,,2.61
"48000000435",3613896,TX,Decentralized,10591,51928,New,Number of Homes Served,2470,Bailey,76,,3.35
"48001097700",3542462,TX,Decentralized,10592,51929,New,Number of Homes Served,2471,Bandera,3800,,2.59
"48000000436",3613897,TX,Decentralized,10593,51931,New,Number of Homes Served,2472,Bastrop,24404,,3.22
"48000000437",3613898,TX,Decentralized,10594,51935,New,Number of Homes Served,2473,Baylor,52,,2.29
"48000000438",3613899,TX,Decentralized,10595,51944,New,Number of Homes Served,2474,Bee,1148,,3
