"CWNS_ID","FACILITY_ID","STATE_CODE","DISCHARGE_TYPE","PRESENT_DISCHARGE_PERCENTAGE","PROJECTED_DISCHARGE_PERCENTAGE","DISCHARGES_TO_CWNSID"
"06002085001",1175342,CA,Discharge To Another Facility,100,100,"06002015001"
"06005078001",1175596,CA,Outfall To Surface Waters,40,40,
"06005078001",1175596,CA,Deep well disposal (UIC Class I),30,30,
"06005078001",1175596,CA,Reuse: Landscape-related irrigation,30,30,
"06005300001",1175756,CA,Evaporation,100,100,
"06006002001",1175855,CA,Reuse: Agricultural-related and livestock watering,100,100,
"20000842001",1130411,KS,Outfall To Surface Waters,100,100,
"20001410001",1130617,KS,Evaporation,100,100,
"06009008001",1176039,CA,Discharge To Another Facility,100,100,"06009031001"
"37002605001",1153301,NC,Discharge To Another Facility,100,100,"37002608001"
"37004208001",1153414,NC,Outfall To Surface Waters,100,100,
"37006301001",1153534,NC,Discharge To Another Facility,100,100,"37006313001"
"37006904001",1153586,NC,Discharge To Another Facility,100,100,"37006903002"
"37007904001",1153665,NC,Outfall To Surface Waters,100,100,
"37009609001",1153791,NC,Discharge To Another Facility,100,100,"37009601001"
"30000010001",1159084,MT,Outfall To Surface Waters,100,100,
"30000032001",1159101,MT,Reuse: Agricultural-related and livestock watering,100,100,
"30000102001",1159160,MT,Reuse: Agricultural-related and livestock watering,100,100,
"30000193001",1159231,MT,Outfall To Surface Waters,100,100,
"28000131001",1160212,MS,Outfall To Surface Waters,100,100,
"41000015001",1164270,OR,Outfall To Surface Waters,100,100,
"41000028002",1164293,OR,Discharge To Another Facility,100,100,"41000031001"
"41000074001",1164336,OR,Outfall To Surface Waters,100,100,
"41000310001",1164500,OR,Outfall To Surface Waters,50,50,
"47000615001",1166069,TN,Outfall To Surface Waters,100,100,
"47000800001",1166113,TN,Outfall To Surface Waters,100,100,
"22000015001",1168166,LA,Outfall To Surface Waters,100,100,
"22003036001",1168314,LA,Outfall To Surface Waters,100,100,
"22003088001",1168347,LA,Outfall To Surface Waters,100,100,
"22003164001",1168421,LA,Outfall To Surface Waters,100,100,
"22009033001",1168609,LA,Outfall To Surface Waters,100,100,
"49000052001",1170407,UT,Discharge To Another Facility,100,100,"49000155001"
"49000094001",1170446,UT,Outfall To Surface Waters,100,80,
"49000094001",1170446,UT,Reuse: Other Centralized Non-Potable,0,20,
"49000131001",1170479,UT,Discharge To Another Facility,100,100,"49000130001"
"49000285001",1170616,UT,Discharge To Another Facility,100,100,"49000130001"
"49000321001",1170644,UT,Discharge To Another Facility,10,10,"49000042001"
"49000334001",1170657,UT,Discharge To Another Facility,100,100,"49000094001"
"40000003001",1172417,OK,Outfall To Surface Waters,100,100,
"40000052001",1172473,OK,Evaporation,100,100,
"40000177001",1172564,OK,Outfall To Surface Waters,100,100,
"40000204001",1172587,OK,Outfall To Surface Waters,100,100,
"40000416001",1172673,OK,Outfall To Surface Waters,50,50,
"40000416001",1172673,OK,Evaporation,50,50,
"40000483001",1172719,OK,Outfall To Surface Waters,100,100,
"40000616001",1172789,OK,Outfall To Surface Waters,100,100,
"40000624001",1172792,OK,Evaporation,100,100,
