"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","POPULATION_TYPE","RES_POP_PER_UNIT","RES_NUM_OF_UNIT_2022","RES_NUM_OF_UNIT_2042","RESIDENTIAL_POP_2022","RESIDENTIAL_POP_2042","NONRES_POP_PER_UNIT","NONRES_NUM_OF_UNIT_2022","NONRES_NUM_OF_UNIT_2042","NONRESIDENTIAL_POP_2022","NONRESIDENTIAL_POP_2042"
"05000539001",1105339,AR,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.64,74,74,195.36,195.36,,,,,
"16000223001",1128744,ID,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,1.75,41,41,71.75,71.75,,,,,
"12000700047",3500441,FL,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.46,5873,5873,14447.58,14447.58,,,,,
"12000701037",3501061,FL,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.46,0,3664,0,9013.44,,,,,
"12000701041",3501083,FL,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.46,0,21052,0,51787.92,,,,,
"54001806001",3510716,WV,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.5,11942,11900,29855,29750,,,,,
"16000000374",3521749,ID,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.36,53,,125.08,,,,,,
"26007003024",3539159,MI,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.17,10704,10704,23227.68,23227.68,,,,,
"51000010175",3541490,VA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.54,7645,7645,19418.3,19418.3,,,,,
"51000010124",3542054,VA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.54,0,1031,0,2618.74,,,,,
"51000010233",3542086,VA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.54,2341,2341,5946.14,5946.14,,,,,
"51000010247",3542107,VA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.54,13679,13679,34744.66,34744.66,,,,,
"26007003007",3539057,MI,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.45,20052,20052,49127.4,49127.4,,,,,
"26007003022",3539157,MI,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.28,11073,11073,25246.44,25246.44,,,,,
"26007003030",3539166,MI,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.48,10186,10186,25261.28,25261.28,,,,,
"26007003080",3539473,MI,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2,4666,4666,9332,9332,,,,,
"51000010150",3541142,VA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.54,9820,9820,24942.8,24942.8,,,,,
"51000010096",3541833,VA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.54,0,385,0,977.9,,,,,
"51000010203",3541856,VA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.54,3428,3428,8707.12,8707.12,,,,,
"51000010113",3542041,VA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.54,0,1668,0,4236.72,,,,,
"20002004087",448660,KS,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.46,2391,2691,5881.86,6619.86,,,,,
"20002004091",448701,KS,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.57,3333,3829,8565.81,9840.53,,,,,
"09000220001",1071793,CT,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.5,2032,2255,5080,5637.5,,,,,
"09001120001",1071907,CT,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.5,639,789,1597.5,1972.5,,,,,
"18120000097",3542910,IN,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.5,4543,5349,11357.5,13372.5,,,,,
"48001150004",454853,TX,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,1102,1102,2777.04,2777.04,,,,,
"34002097021",485911,NJ,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.75,5446,5895,14976.5,16211.25,,,,,
"25000580001",494714,MA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.72,302,302,821.44,821.44,,,,,
"25000710001",494747,MA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.72,253,253,688.16,688.16,,,,,
"25000900001",494853,MA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.72,298,298,810.56,810.56,,,,,
"25000079002",3600614,MA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.72,204,204,554.88,554.88,,,,,
