"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","POPULATION_TYPE","RESIDENTIAL_POP_2022","RESIDENTIAL_POP_2042","NONRESIDENTIAL_POP_2022","NONRESIDENTIAL_POP_2042","TOTAL_RES_POPULATION_2022","TOTAL_RES_POPULATION_2042","TOTAL_NONRES_POPULATION_2022","TOTAL_NONRES_POPULATION_2042","TREATED_DISCHARGE_PERCENTAGE_2022","TREATED_DISCHARGE_PERCENTAGE_2042","NET_TREATED_POPULATION_2022","NET_TREATED_POPULATION_2042","NO_DISCHARGE_PERCENTAGE_2022","NO_DISCHARGE_PERCENTAGE_2042","NO_DISCHARGE_POPULATION_2022","NO_DISCHARGE_POPULATION_2042","PART_OF_SEWERSHED","END_FACILITY"
"42004004001",1196228,PA,Wastewater,Receiving Collection,3970,3970,,,3970,3970,0,0,1,1,3970,3970,,,,,,Y
"54003102001",1095086,WV,Wastewater,Receiving Collection,697,697,,,697,697,0,0,1,1,697,697,,,,,,Y
"54004230001",1095218,WV,Wastewater,Receiving Collection,689,700,84,90,689,700,84,90,0,0,0,0,,,,,Y,
"54005501001",1095325,WV,Wastewater,Receiving Collection,1490,1605,4140,4281,1490,1605,4140,4281,1,1,1490,1605,,,,,,Y
"33000035001",1100931,NH,Wastewater,Receiving Collection,60,60,,,60,60,0,0,0,0,0,0,,,,,Y,
"33000095001",1100982,NH,Wastewater,Receiving Collection,3025,3025,,,3025,3025,0,0,1,1,3025,3025,,,,,,Y
"01000264001",1102094,AL,Wastewater,Receiving Collection,3300,3300,,,3300,3300,0,0,1,1,3300,3300,,,,,,Y
"01000316001",1102137,AL,Wastewater,Receiving Collection,2050,2050,,,2050,2050,0,0,1,1,2050,2050,,,,,,Y
"05000098001",1104934,AR,Wastewater,Receiving Collection,1577,1577,,,1577,1577,0,0,0.67,0,1057,0,0.67,0,708,0,Y,
"05000223001",1105051,AR,Wastewater,Receiving Collection,4001,4001,,,4001,4138,0,0,1,1,4001,4138,,,,,Y,Y
"05000359002",1105174,AR,Wastewater,Receiving Collection,340,340,,,340,340,0,0,1,1,340,340,,,,,,Y
"13000031002",1109001,GA,Wastewater,Receiving Collection,0,0,,,109554,125564,0,0,1,1,109554,125564,,,,,Y,Y
"54001401001",1094819,WV,Wastewater,Receiving Collection,750,750,,,750,750,0,0,1,1,750,750,,,,,,Y
"13000129001",1109131,GA,Wastewater,Receiving Collection,2157,2157,,,9437,9437,0,0,1,1,9437,9437,,,,,Y,Y
"13000184001",1109191,GA,Wastewater,Receiving Collection,2525,2525,,,13199,13199,0,0,1,1,13199,13199,1,1,13199,13199,Y,Y
"13000732001",1109557,GA,Wastewater,Receiving Collection,494,494,,,494,494,0,0,1,1,494,494,,,,,,Y
"17000286001",1113559,IL,Wastewater,Receiving Collection,25189,25189,,,25189,25189,0,0,1,1,25189,25189,,,,,,Y
"17000325001",1113593,IL,Wastewater,Receiving Collection,983,983,,,983,983,0,0,1,1,983,983,,,,,,Y
"17000432001",1113702,IL,Wastewater,Receiving Collection,2409,2409,,,2409,2409,0,0,1,1,2409,2409,,,,,,Y
"17000471001",1113743,IL,Wastewater,Receiving Collection,9464,11630,,,9464,11630,0,0,0,0,0,0,,,,,Y,
"17000570001",1113847,IL,Wastewater,Receiving Collection,218,218,,,218,218,0,0,0,0,0,0,,,,,Y,
"17000575001",1113853,IL,Wastewater,Receiving Collection,29643,29643,,,29643,29643,0,0,0,0,0,0,,,,,Y,
"17000627001",1113901,IL,Wastewater,Receiving Collection,29291,29291,,,30052,30052,0,0,1,1,30052,30052,,,,,Y,Y
"17000704001",1113970,IL,Wastewater,Receiving Collection,24266,24266,,,24266,24266,0,0,0,0,0,0,,,,,Y,
"17003201001",1114131,IL,Wastewater,Receiving Collection,1143,1143,,,1143,1143,0,0,1,1,1143,1143,,,,,,Y
"17009905001",1114444,IL,Wastewater,Receiving Collection,380,380,,,380,611,0,0,1,1,380,611,,,,,Y,Y
"18000019001",1120072,IN,Wastewater,Receiving Collection,3106,3106,,,3106,3106,0,0,1,1,3106,3106,,,,,,Y
"18000055001",1120094,IN,Wastewater,Receiving Collection,1422,1422,,,1422,1422,0,0,1,1,1422,1422,,,,,,Y
"18000226001",1120144,IN,Wastewater,Receiving Collection,1112,1112,,,1112,1112,0,0,0,0,0,0,,,,,Y,
"18000331001",1120167,IN,Wastewater,Receiving Collection,2185,2185,,,2185,2185,0,0,1,1,2185,2185,,,,,,Y
"18000802001",1120216,IN,Wastewater,Receiving Collection,545,545,,,545,545,0,0,1,1,545,545,,,,,,Y
