"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","FACILITY_TYPE","POPULATION_TYPE","TOTAL_RES_POPULATION_2022","TOTAL_RES_POPULATION_2042","CURRENT_EFFLUENT_TREATMENT_LEVEL","FUTURE_EFFLUENT_TREATMENT_LEVEL","PART_OF_SEWERSHED","NO_DISCHARGE_PERCENTAGE_2022","NO_DISCHARGE_PERCENTAGE_2042","NO_DISCHARGE_POPULATION_2022","NO_DISCHARGE_POPULATION_2042","LOCATION_TYPE","LATITUDE","LONGITUDE","DATUM","ADDRESS","ADDRESS_2","CITY_ID","CITY","ZIP_CODE","COUNTY_FIPS","COUNTY_NAME"
"06001017001",1175186,CA,Wastewater,Treatment Plant,Receiving Collection,650,1129,Secondary,Secondary,Y,,,,,Point,"38.4658",-122.7187,NAD83,"14445 OCCIDENTAL ROAD",OCCIDENTAL ROAD AT DRUIDS CEM,2460,Occidental,"95465","06097",Sonoma
"06001019001",1175188,CA,Wastewater,Treatment Plant,Receiving Collection,1350,1550,Secondary,Secondary,,,,,,Point,"40.12060",-123.82470,NAD83,"153 EMPIRE AVE",NO. 1 SEWER PLANT ROAD,2589,Redway,"95560","06023",Humboldt
"06001029001",1175197,CA,Wastewater,Treatment Plant,Receiving Collection,6500,9268,Advanced,Advanced,,,,,,Point,"38.4856",-122.9994,NAD83,"18400 NEELEY  ROAD",RRCSD AND SCWA,2131,Guerneville,"95446","06097",Sonoma
"06001031001",1175199,CA,Wastewater,Treatment Plant,Receiving Collection,500,500,Secondary,Secondary,,,,,,Point,"38.445",-122.7525,NAD83,"2102-2116 W College Ave",,,,"95401",,
"06001073001",1175230,CA,Wastewater,Treatment Plant,Receiving Collection,2303,2303,Advanced,Advanced,,,,,,Point,,,NAD83,"7351 TOMPKINS HILL RD","""TOMPKINS HILL RD, EUREKA""",2037,Eureka,"95501","06023",Humboldt
"06003051001",1175419,CA,Wastewater,Treatment Plant,Receiving Collection,5000,5000,Secondary,Secondary,Y,,,,,Point,"34.6006",-120.3757,NAD83,"10333 El Camino Real",,1732,Atascadero,"93422","06079",San Luis Obispo
"06003064001",1175432,CA,Wastewater,Treatment Plant,Receiving Collection,16000,16000,Advanced,Advanced,,,,,,Point,,,NAD83,"HIGHWAY 1, CAMP SAN LUIS OBISPO","NORTH OF SLO, BEHIND CUESTA COLLEGE",2658,San Luis Obispo,"93401","06079",San Luis Obispo
"06003071001",1175439,CA,Wastewater,Treatment Plant,Receiving Collection,325,210,Secondary,Secondary,,,,,,Point,"35.7583",-120.9853,NAD83,Ridge Rider Rd.,,2658,San Luis Obispo,"93408","06079",San Luis Obispo
"06003100001",1175453,CA,Wastewater,Treatment Plant,Receiving Collection,23,23,Advanced,Advanced,,,,,,Point,"37.1685",-122.2214,NAD83,"21600 BIG BASIN WAY",,1799,Boulder Creek,"95006","06087",Santa Cruz
"06004008001",1175464,CA,Wastewater,Treatment Plant,Receiving Collection,1699,1768,Primary,Primary,,,,,,Point,"34.8083",-118.8811,NAD83,"901 S. Fremon Ave",,2305,Los Angeles,"91803","06037",Los Angeles
"06004008002",1175465,CA,Wastewater,Treatment Plant,Receiving Collection,400,400,Secondary,Secondary,,,,,,Point,"34.5539",-118.6425,NAD83,"38200 North Lake Hughes Road",,1873,Castaic,"91310","06037",Los Angeles
"06004008003",1175466,CA,Wastewater,Treatment Plant,Receiving Collection,600,717,Secondary,Secondary,,,,,,Point,"34.0319",-118.8406,NAD83,"6338 Paseo Canyon Dr. ",,2327,Malibu,"90265","06037",Los Angeles
"06004008012",1175471,CA,Wastewater,Treatment Plant,Receiving Collection,240,240,Secondary,Secondary,,,,,,Point,"34.0928",-118.8372,NAD83,"1100 N. Eastern Ave. ",,2305,Los Angeles,"90063","06037",Los Angeles
"06004008014",1175473,CA,Wastewater,Treatment Plant,Receiving Collection,250,250,Secondary,Secondary,,100,100,,,Point,"34.0601",-118.7794,NAD83,"4222 Lake Hughes ",,2305,Los Angeles,"93539","06037",Los Angeles
"06004008016",1175475,CA,Wastewater,Treatment Plant,Receiving Collection,260,260,Secondary,Secondary,,,,,,Point,"34.1519",-117.7392,NAD83,"6631 N. Stephens Branch Rd. ",,,,"91750",,
"06005020001",1175541,CA,Wastewater,Treatment Plant,Receiving Collection,16000,16000,Advanced,Advanced,,,,,,Point,"37.8947",-121.5872,NAD83,"1800 WILLOW LAKE ROAD",,1979,Discovery Bay,"94505","06013",Contra Costa
"06005111001",3477912,CA,Wastewater,Treatment Plant,Receiving Collection,2800,2800,Secondary,Secondary,,,,,,Point,"38.3684",-120.957,NAD83,"4001-4143 Ione Michigan Bar Rd",,2547,Plymouth,"95669","06005",Amador
"06005119001",1175650,CA,Wastewater,Treatment Plant,Receiving Collection,1980,1980,Secondary,Secondary,,,,,,Point,"37.0958",-121.0158,NAD83,"12931 State Highway 33",,,,"95322",,
"06005176001",1175686,CA,Wastewater,Treatment Plant,Receiving Collection,30000,31285,Advanced,Advanced,,,,,,Point,"38.5406",-121.7482,NAD83,"1140 OLD DAVIS ROAD",OFFICE OF EHS TB 30,1962,Davis,"95616","06113",Yolo
"06005256001",1175739,CA,Wastewater,Treatment Plant,Receiving Collection,5200,6000,Secondary,Secondary,Y,,,,,Point,"39.0433",-122.9158,NAD83,"231 A N. of Main Street",,2256,Lakeport,"95453","06033",Lake
"06005640002",3479019,CA,Wastewater,Treatment Plant,Receiving Collection,700,700,Secondary,Secondary,,,,,,Point,"39.1445",-121.6385,NAD83,"1130 Civic Center Blvd.",,2922,Yuba City,"95993","06101",Sutter
"06005640003",3479023,CA,Wastewater,Treatment Plant,Receiving Collection,500,500,Primary,Primary,,,,,,Point,"39.1445",-121.6385,NAD83,"1130 Civic Center Blvd",,2922,Yuba City,"95993","06101",Sutter
"06006021002",1175877,CA,Wastewater,Treatment Plant,Receiving Collection,2000,2000,Primary,Primary,,,,,,Point,"34.2479",-117.266,NAD83,"24516 Lake Drive	",,1946,Crestline,"92325","06071",San Bernardino
"06006021003",1175878,CA,Wastewater,Treatment Plant,Receiving Collection,500,600,Secondary,Secondary,,,,,,Point,"34.2479",-117.266,NAD83,"20951 Cleghorn Canyon Rd",,,,"92557",,
"06006026001",1175882,CA,Wastewater,Treatment Plant,Receiving Collection,1400,1500,Secondary,Secondary,,,,,,Point,"37.2886",-117.9286,NAD83,"841 S. Main St.",,1778,Big Pine,"92314","06027",Inyo
"06009027001",1176062,CA,Wastewater,Treatment Plant,Receiving Collection,120000,150000,Secondary,Secondary,,,,,,Point,"33.0494",-116.8568,NAD83,"260 Sawday St",,2572,Ramona,"92065","06073",San Diego
"13000000867",3614355,GA,Wastewater,Treatment Plant,Receiving Collection,365,365,Secondary,Secondary,,,,,,Point,"33.297636",-82.087539,NAD83,,,4469,Hephzibah,"30815","13245",Richmond
"13000000868",3614358,GA,Wastewater,Treatment Plant,Receiving Collection,200,200,Secondary,Advanced,,100,100,,,Point,"34.393613",-85.414259,NAD83,,,4542,Lyerly,"30730","13055",Chattooga
"13000000869",3614359,GA,Wastewater,Treatment Plant,Receiving Collection,200,200,Secondary,Secondary,,,,,,Point,"31.536600",-81.446313,NAD83,,,4360,Darien,"31331",,Mcintosh
"13000000870",3614360,GA,Wastewater,Treatment Plant,Receiving Collection,404,404,Secondary,Secondary,,,,,,Point,"34.472157",-85.468601,NAD83,,,4566,Menlo,"30731","13055",Chattooga
"13000000871",3614361,GA,Wastewater,Treatment Plant,Receiving Collection,550,550,Secondary,Secondary,,100,100,,,Point,"32.036980",-83.059632,NAD83,,,4574,Milan,"31060","13271",Telfair
"13000000872",3614362,GA,Wastewater,Treatment Plant,Receiving Collection,302,302,Secondary,Secondary,,,,,,Point,"32.382475",-82.997422,NAD83,,,4669,Rentz,"31075","13175",Laurens
"13000000873",3614363,GA,Wastewater,Treatment Plant,Receiving Collection,629,629,Secondary,Secondary,,,,,,Point,"31.902062",-84.246334,NAD83,,,4722,Smithville,"31787","13177",Lee
"13000000874",3614364,GA,Wastewater,Treatment Plant,Receiving Collection,100,100,Secondary,Secondary,,100,100,,,Point,"32.447895",-82.223323,NAD83,,,4735,Stillmore,"30464","13107",Emanuel
"13000000875",3614365,GA,Wastewater,Treatment Plant,Receiving Collection,800,800,Secondary,Secondary,,100,100,,,Point,"32.567107",-82.166191,NAD83,,,4778,Twin City,"30471","13107",Emanuel
"13000000876",3614366,GA,Wastewater,Treatment Plant,Receiving Collection,220,220,Secondary,Secondary,,100,100,,,Point,"32.707437",-85.215899,NAD83,,,4792,Waco,"30182","13143",Haralson
"13000000878",3614368,GA,Wastewater,Treatment Plant,Receiving Collection,0,0,Secondary,Secondary,Y,100,100,,,Point,"31.850775",-81.198853,NAD83,,,4676,Richmond Hill,"31321","13029",Bryan
"13000072001",1109071,GA,Wastewater,Treatment Plant,Receiving Collection,100,100,Secondary,Secondary,,100,100,,,City,"32.872480",-82.467683,NAD83,,,5396,Lehigh,"30413","13307",Webster
"13000088002",3614353,GA,Wastewater,Treatment Plant,Receiving Collection,650,650,Secondary,Secondary,,100,100,,,Point,"32.126708",-81.946741,NAD83,,,4316,Claxton,"30417","13109",Evans
"13000110001",1109113,GA,Wastewater,Treatment Plant,Receiving Collection,1602,1602,Secondary,Secondary,,,,,,Point,"31.6149",-85.0514,NAD83,TROUPE STREET,CLAY COUNTY,4421,Fort Gaines,"39851","13061",Clay
"13000140001",1109146,GA,Wastewater,Treatment Plant,Receiving Collection,1800,1800,Secondary,Secondary,,100,100,,,Point,"31.7883",-81.3986,NAD83,"12601 East Oglethorpe Hwy",,4573,Midway,"31320","13179",Liberty
"13000141001",1109147,GA,Wastewater,Treatment Plant,Receiving Collection,850,850,Secondary,Secondary,,,,,,Point,"32.8163",-82.2332,NAD83,MADISON STREET,PO BOX 234,4572,Midville,"30441","13033",Burke
"13000148001",1109153,GA,Wastewater,Treatment Plant,Receiving Collection,263,263,Secondary,Secondary,,100,100,,,Point,"33.4167",-82.75,NAD83,"531 Norwood - Camak Road",,4616,Norwood,"30821","13301",Warren
"13000168001",1109174,GA,Wastewater,Treatment Plant,Receiving Collection,18019,18019,Secondary,Secondary,,,,,,Point,"30.7201",-81.5472,NAD83,"418 OSBORNE STREET",,4697,Saint Marys,"31558","13039",Camden
"13000509001",1109306,GA,Wastewater,Treatment Plant,Receiving Collection,4532,6800,Secondary,Advanced,,,,,,Point,"31.5231",-82.4336,NAD83,"884 Radio Station Road",PO BOX 429,4211,Alma,"31510","13005",Bacon
"13000542001",1109341,GA,Wastewater,Treatment Plant,Receiving Collection,1117,1117,Secondary,Secondary,,100,100,,,Point,"31.6163",-82.8916,NAD83,Unnamed Road,,4277,Broxton,"31519","13069",Coffee
"13000648002",3614354,GA,Wastewater,Treatment Plant,Receiving Collection,497,497,Secondary,Secondary,,,,,,Point,"32.828523",-82.712206,NAD83,,,4462,Harrison,"31035","13303",Washington
"13000667004",3614352,GA,Wastewater,Treatment Plant,Receiving Collection,6293,6293,Secondary,Secondary,,100,100,,,Point,"33.225573",-84.080863,NAD83,,,4489,Jackson,"30233","13035",Butts
"13000687001",1109507,GA,Wastewater,Treatment Plant,Receiving Collection,3725,3725,Secondary,Secondary,,,,,,Point,"32.986515",-82.411724,NAD83,Forstmann Road (Off Hwy 171),,4534,Louisville,"30434","13163",Jefferson
"13000710001",1109533,GA,Wastewater,Treatment Plant,Receiving Collection,4230,4230,Secondary,Secondary,,,,,,Point,"32.798",-81.9531,NAD83,HWY. 25 SOUTH,HIGHWAY 25 SOUTH,4576,Millen,"30442","13165",Jenkins
"13000716001",1109541,GA,Wastewater,Treatment Plant,Receiving Collection,5673,5673,Secondary,Secondary,Y,,,,,Point,"32.2448",-84.0147,NAD83,DRAYTON ROAD,MACON COUNTY,4583,Montezuma,"31063","13193",Macon
"13000999018",3538276,GA,Wastewater,Treatment Plant,Receiving Collection,50,50,Advanced,Advanced,,100,100,,,Point,"31.791856",-81.412495,NAD83,,,4473,Hinesville,"31313","13179",Liberty
"28000005001",1160171,MS,Wastewater,Treatment Plant,Receiving Collection,6885,6885,Secondary,Secondary,,,,,,Point,"33.8281",-88.5423,NAD83,HIGHWAY 25 AT HIGHWAY 45,,14139,Aberdeen,"39730","28095",Monroe
"28000010001",1160172,MS,Wastewater,Treatment Plant,Receiving Collection,1242,1242,Secondary,Secondary,,,,,,Point,,,NAD83,WEST PICKLE STREET,,14140,Ackerman,"39735","28019",Choctaw
"28000015001",1160173,MS,Wastewater,Treatment Plant,Receiving Collection,194,194,Secondary,Secondary,,,,,,Point,"34.0836",-90.716,NAD83,SOUTH OF TOWN,,14142,Alligator,"38720","28011",Bolivar
"28000020001",1160174,MS,Wastewater,Treatment Plant,Receiving Collection,1842,1842,Secondary,Secondary,Y,,,,,Point,,,NAD83,HIGHWAY 278 WEST,,14143,Amory,"38821-0457","28095",Monroe
"28000025001",1160176,MS,Wastewater,Treatment Plant,Receiving Collection,758,758,Secondary,Secondary,,,,,,Point,"32.9689",-90.8211,NAD83,HWY 61 SOUTH,,14144,Anguilla,"38721","28125",Sharkey
"28000035001",1160179,MS,Wastewater,Treatment Plant,Receiving Collection,496,496,Advanced,Advanced,,,,,,Point,"33.4128",-88.6495,NAD83,"22 FRONT ROAD",,14147,Artesia,"39736","28087",Lowndes
"28000040001",1160180,MS,Wastewater,Treatment Plant,Receiving Collection,346,346,Secondary,Secondary,,,,,,Point,,,NAD83,HIGHWAY 370 EAST,,14148,Ashland,"38606","28009",Benton
"28000065002",1160189,MS,Wastewater,Treatment Plant,Receiving Collection,4977,4977,Advanced,Advanced,,,,,,Point,"32.0136",-89.2821,NAD83,"15 ISHEE LANE",,14156,Bay Springs,"39422","28061",Jasper
"28000070001",1160190,MS,Wastewater,Treatment Plant,Receiving Collection,930,930,Secondary,Secondary,,,,,,Point,,,NAD83,"1114 1ST STREET",,14157,Beaumont,"39423","28111",Perry
"28000085001",1160194,MS,Wastewater,Treatment Plant,Receiving Collection,2651,2651,Secondary,Secondary,,,,,,Point,"33.1585",-90.4973,NAD83,US HWY 49 SOUTH,,14163,Belzoni,"39038","28053",Humphreys
"28000095001",1160196,MS,Wastewater,Treatment Plant,Receiving Collection,498,498,Advanced,Advanced,,,,,,Point,"32.6421",-90.3553,NAD83,HIGHWAY 433 EAST,,14166,Bentonia,"39040","28163",Yazoo
"28000100001",1160197,MS,Wastewater,Treatment Plant,Receiving Collection,457,457,Secondary,Secondary,,,,,,Point,"33.791",-90.9763,NAD83,GOOSE ALLEY,,14167,Beulah,"38730","28011",Bolivar
"28000110005",482635,MS,Wastewater,Treatment Plant,Receiving Collection,1435,1435,Secondary,Secondary,Y,,,,,Point,"30.434",-89.0076,NAD83,PIN OAK DRIVE,EAGLE POINT POTW,14169,Biloxi,"39532","28047",Harrison
"28000122001",422740,MS,Wastewater,Treatment Plant,Receiving Collection,2046,2046,Secondary,Secondary,,,,,,Point,"33.465",-90.2003,NAD83,"100 MEADOWBROOK ROAD",RISING SUN SUBDIVISION,14280,Greenwood,"38930","28083",Leflore
"28000125001",1160206,MS,Wastewater,Treatment Plant,Receiving Collection,626,626,Secondary,Advanced,,,,,,Point,"32.3473",-90.4655,NAD83,"205 BEN WARREN DRIVE",,14173,Bolton,"39041","28049",Hinds
"28000130005",1160211,MS,Wastewater,Treatment Plant,Receiving Collection,8585,8585,Advanced,Advanced,,,,,,Point,,,NAD83,"301 TOWNHOUSE DRIVE",,14174,Booneville,"38829","28117",Prentiss
"28000155001",1160217,MS,Wastewater,Treatment Plant,Receiving Collection,1290,1290,Advanced,Advanced,,,,,,Point,,,NAD83,SECOND STREET AT AVENUE A,,14180,Brooksville,"39739","28103",Noxubee
"28000160001",1160218,MS,Wastewater,Treatment Plant,Receiving Collection,2115,2115,Secondary,Secondary,,,,,,Point,"33.9758",-89.3611,NAD83,HIGHWAY 9 SOUTH,,14181,Bruce,"38915","28013",Calhoun
"28000175001",1160221,MS,Wastewater,Treatment Plant,Receiving Collection,1164,1164,Secondary,Secondary,,,,,,Point,,,NAD83,"181 SCHOOL HOUSE ROAD",,14185,Byhalia,"38611","28093",Marshall
"28000185002",1160224,MS,Wastewater,Treatment Plant,Receiving Collection,1895,1895,Secondary,Secondary,,,,,,Point,"33.8465",-89.3183,NAD83,GORE AND SOUTH JACKSON,,14188,Calhoun City,"38916","28013",Calhoun
"28000190001",1160225,MS,Wastewater,Treatment Plant,Receiving Collection,12395,12395,Secondary,Secondary,,,,,,Point,"32.6231",-90.0683,NAD83,HEINDL ROAD,,14190,Canton,"39046-0114","28089",Madison
"28000200001",1233725,MS,Wastewater,Treatment Plant,Receiving Collection,5052,5052,Secondary,Secondary,,,,,,Point,,,NAD83,SOUTH VALLEY STREET,,14194,Carthage,"39051","28079",Leake
"28000205001",1160228,MS,Wastewater,Treatment Plant,Receiving Collection,521,521,Secondary,Secondary,,,,,,Point,,,NAD83,"30 OAK CIRCLE",,14195,Cary,"39054","28125",Sharkey
"28000210001",1160229,MS,Wastewater,Treatment Plant,Receiving Collection,1241,1241,Secondary,Secondary,,,,,,Point,,,NAD83,EAST CHEROKEE STREET,,14198,Centreville,"39631","28157",Wilkinson
"28000210002",1160230,MS,Wastewater,Treatment Plant,Receiving Collection,1126,1126,Advanced,Advanced,,,,,,Point,,,NAD83,GAULDEN CLINTON ROAD,,14198,Centreville,"39631","28157",Wilkinson
"28000215001",1160231,MS,Wastewater,Treatment Plant,Receiving Collection,2359,2359,Secondary,Secondary,,,,,,Point,"34.013",-90.0751,NAD83,MURPHY ROAD,,14199,Charleston,"38921","28135",Tallahatchie
"28000235001",1233727,MS,Wastewater,Treatment Plant,Receiving Collection,19200,19200,Advanced,Advanced,Y,,,,,Point,"33.7041",-90.676,NAD83,"2 PEAVINE ROAD",,14205,Cleveland,"38732","28011",Bolivar
"28000240004",1160234,MS,Wastewater,Treatment Plant,Receiving Collection,3104,3104,Secondary,Secondary,,,,,,Point,,,NAD83,"1619 TANGLEWOOD DRIVE",HUNTCLIFF WAY,14206,Clinton,"39060","28049",Hinds
"28000240005",1160235,MS,Wastewater,Treatment Plant,Receiving Collection,7550,7550,Advanced,Advanced,,,,,,Point,"32.3621",-90.2861,NAD83,"1285 MAGNOLIA ROAD",,14206,Clinton,"39060","28049",Hinds
"28000245001",1160238,MS,Wastewater,Treatment Plant,Receiving Collection,995,995,Secondary,Secondary,,,,,,Point,"33.9704",-89.6757,NAD83,"150 FRONT STREET EXTENDED",,14208,Coffeeville,"38922","28161",Yalobusha
"28000260001",1160242,MS,Wastewater,Treatment Plant,Receiving Collection,981,981,Secondary,Secondary,,,,,,Point,,,NAD83,DEAN GRINER ROAD,,14213,Columbia,"39429","28091",Marion
"28000260005",3538456,MS,Wastewater,Treatment Plant,Receiving Collection,0,0,Secondary,Secondary,,,,,,,,,,,,,,,,
"28000265002",1160245,MS,Wastewater,Treatment Plant,Receiving Collection,1049,1049,Secondary,Secondary,,,,,,Point,,,NAD83,HIGHWAY 373,,14214,Columbus,"39701","28087",Lowndes
"28000270001",1160247,MS,Wastewater,Treatment Plant,Receiving Collection,1325,1325,Advanced,Advanced,,,,,,Point,"34.521",-89.9494,NAD83,"700 SPENCER DRIVE",,14215,Como,"38619","28107",Panola
"28000275001",1160248,MS,Wastewater,Treatment Plant,Receiving Collection,15645,15645,Advanced,Advanced,Y,,,,,Point,"34.8853",-88.5661,NAD83,"2643 SOUTH HARPER ROAD",,14217,Corinth,"38834","28003",Alcorn
"28000290001",1160253,MS,Wastewater,Treatment Plant,Receiving Collection,974,974,Secondary,Secondary,,,,,,Point,"34.5037",-90.2035,NAD83,GOODWIN STREET,,14220,Crenshaw,"38621-0296","28107",Panola
"28000295001",1160254,MS,Wastewater,Treatment Plant,Receiving Collection,552,552,Secondary,Secondary,,,,,,Point,,,NAD83,"326 HWY 33 NORTH","326 HIGHWAY 33",14221,Crosby,"39633","28005",Amite
"28000300001",1160255,MS,Wastewater,Treatment Plant,Receiving Collection,679,679,Secondary,Secondary,,,,,,Point,"34.1685",-90.1332,NAD83,"268-A HUMPHERY AVE",,14222,Crowder,"38622","28119",Quitman
"28000305001",1160256,MS,Wastewater,Treatment Plant,Receiving Collection,470,470,Secondary,Secondary,,,,,,Point,"33.3179",-90.2362,NAD83,RAILROAD STREET,,14223,Cruger,"38924","28051",Holmes
"28000311001",1160258,MS,Wastewater,Treatment Plant,Receiving Collection,2439,2439,Advanced,Advanced,,,,,,Point,"32.4976",-88.5194,NAD83,"9097 LAKE FLORA DRIVE",,14326,Lauderdale,"39335","28075",Lauderdale
"28000315001",1160260,MS,Wastewater,Treatment Plant,Receiving Collection,720,720,Secondary,Advanced,,,,,,Point,"32.4333",-89.1125,NAD83,SR 378,,14229,Decatur,"39327","28101",Newton
"28000320001",1160262,MS,Wastewater,Treatment Plant,Receiving Collection,570,570,Advanced,Advanced,,,,,,Point,"32.7674",-88.66,NAD83,PHILADELPHIA ROAD,,,,"39328",,
"28000320002",1160263,MS,Wastewater,Treatment Plant,Receiving Collection,397,397,Advanced,Advanced,,,,,,Point,"32.7701",-88.6743,NAD83,PONDEROSA DRIVE,,,,"39328",,
"28000321001",1160264,MS,Wastewater,Treatment Plant,Receiving Collection,108,108,Secondary,Secondary,,,,,,Point,"33.074",-90.795,NAD83,DELTA CITY ROAD,,14230,Delta City,"39061","28125",Sharkey
"28000325001",1160265,MS,Wastewater,Treatment Plant,Receiving Collection,1018,1018,Secondary,Secondary,,,,,,Point,"33.8493",-89.2854,NAD83,"460 SOUTH STRONG STREET",,14232,Derma,"38839","28013",Calhoun
"28000327506",3517950,MS,Wastewater,Treatment Plant,Receiving Collection,1005,1005,Advanced,Advanced,,,,,,Point,"34.9618",-89.7576,NAD83,"13041 SANBOURNE SOUTH",,14407,Olive Branch,"38654",,Desoto
"28000340001",1160267,MS,Wastewater,Treatment Plant,Receiving Collection,295,295,Secondary,Secondary,,,,,,Point,"33.6549",-90.5383,NAD83,"3079 HIGHWAY 49",,14235,Doddsville,"38736","28133",Sunflower
"28000345001",1160268,MS,Wastewater,Treatment Plant,Receiving Collection,2404,2404,Secondary,Secondary,,,,,,Point,"33.7944",-90.5357,NAD83,SOUTH BOULEVARD,,14236,Drew,"38737","28133",Sunflower
"28000350001",1160269,MS,Wastewater,Treatment Plant,Receiving Collection,1630,1630,Secondary,Secondary,,,,,,Point,"33.6389",-89.7146,NAD83,"105 HIGHWAY 51 NORTH",,14238,Duck Hill,"38925","28097",Montgomery
"28000355001",1233728,MS,Wastewater,Treatment Plant,Receiving Collection,430,430,Secondary,Secondary,,,,,,Point,"34.0348",-90.7557,NAD83,SCHOOL STREET,,14240,Duncan,"38740","28011",Bolivar
"28000385001",1160275,MS,Wastewater,Treatment Plant,Receiving Collection,1394,1394,Secondary,Secondary,,,,,,Point,"31.562",-89.185,NAD83,STATE SCHOOL ROAD,,14247,Ellisville,"39437","28067",Jones
"28000385002",1160276,MS,Wastewater,Treatment Plant,Receiving Collection,1219,1219,Secondary,Secondary,Y,,,,,Point,"31.6106",-89.3127,NAD83,CHURCH STREET,,14247,Ellisville,"39437","28067",Jones
"28000395001",1160277,MS,Wastewater,Treatment Plant,Receiving Collection,475,475,Secondary,Secondary,,,,,,Point,"32.172",-88.8206,NAD83,"500 RIVER ROAD",,14249,Enterprise,"39330","28023",Clarke
