,REGION,STATE,PRIMARY_COUNTY,SECONDARY_COUNTIES,AUTHORITY,POINT_OF_CONTACT_NAME,POINT_OF_CONTACT_STREET_1,POINT_OF_CONTACT_STREET_2,POINT_OF_CONTACT_CITY,POINT_OF_CONTACT_STATE,POINT_OF_CONTACT_ZIP,POINT_OF_CONTACT_PHONE,POINT_OF_CONTACT_FAX,POINT_OF_CONTACT_EMAIL,FACILITY_NAME,CWNS_NUMBER,OWNER_TYPE,PRIMARY_WATERSHED_HUC,PRIMARY_WATERSHED_NAME,SECONDARY_WATERSHEDS,PRIMARY_CONGRESSIONAL_DISTRICT,SECONDARY_CONGRESSIONAL_DIST,NPDES_PERMIT_NUMBER,PERMIT_TYPE,FACILITY_STREET_1,FACILITY_STREET_2,FACILITY_CITY,FACILITY_STATE,FACILITY_ZIP,SYSTEM_NAME,FACILITY_DESCRIPTION,MILITARY_IND,TMDL_IND,SOURCE_WATER_PROTECTION_IND,SMALL_COMMUNITY_EXCEPTION_IND,PRES_FACILITY_TYPE,PRES_FACILITY_OVERALL_TYPE,PRES_TREATMENT_PLANT_TYPE,PROJ_FACILITY_TYPE,PROJ_FACILITY_OVERALL_TYPE,PROJ_TREATMENT_PLANT_TYPE,COORDINATE_TYPE,LOCATION_DESCRIPTION,LATITUDE,LONGITUDE,HORIZONTAL_COORDINATE_DATUM,HORIZONTAL_COLLECTION_METHOD,SCALE,GEOGRAPHIC_LOCATION_SOURCE,MEASUREMENT_DATE,TRIBE_IND,SPECIAL_PROGRAM_AREAS,FACILITY_ID,REVIEW_STATUS,SMALL_COMMUNITY_IND,POTW_PRESENT_IND,POTW_PROJECTED_IND,DECENTRALIZED_ONLY_IND,CITIES_TOWNS
0,9,CA,San Diego,,"City of Del Mar, Engineering Department","John ""Rusty"" Powell",1050 Camino Del Mar,,Del Mar,CA,92014,8587559313,8587552794,,Del Mar Storm Water System,06029046001,Public,18070304,San Diego,,49th Congressional District,52nd Congressional District,,,,,,,,,,N,N,N,N,Phase II MS4,Stormwater,,Phase II MS4,Stormwater,,Single Point,Center/Centroid,32.9664 N,117.2681 W,World Geodetic System of 1984,Interpolation-Map, ,Manual,29-OCT-04,N,,415588,Federal Accepted,N,,,N,
1,9,CA,San Bernardino,,Inland Empire Utilities Agency,Tom Love,P.O. Box 9020,,Chino Hills,CA,91709,9099931730,9095978875,TLOVE@IEUA.ORG,Upland Hills WRP,06008010007,Public,18070203,Santa Ana,,27th Congressional District,8th Congressional District,,,1700 N. Campus Avenue, ,Upland,CA,91784,Inland Empire Utilities Agency,,N,N,N,N,"Collection: Separate Sewers, Treatment Plant",Wastewater,,"Collection: Separate Sewers, Treatment Plant",Wastewater,,Single Point,Center/Centroid,34.1252 N,117.6416 W,World Geodetic System of 1984,Address Matching-Block Face, ,Manual,27-AUG-04,N,,399241,Federal Accepted,Y,Y,Y,N,
2,9,CA,San Joaquin,,"LATHROP, CITY OF",Violet Jakab,"Public Works Department,",16775 Howland Road,Lathrop,CA,95330,2098582860,,,Crossroads Wastewater Treatment Plant,06005019004,Public,18040003,San Joaquin Delta,,9th Congressional District,,,,19094 Howland Rd,,lathrop,CA,95330,,,N,N,N,N,"Collection: Separate Sewers, Treatment Plant",Wastewater,,"Collection: Separate Sewers, Treatment Plant",Wastewater,,Single Point,Center/Centroid,37.7849 N,121.3084 W,World Geodetic System of 1984,Address Matching-Nearest Intersection, ,Manual,11-AUG-04,N,San Francisco Estuary,395847,Federal Accepted,N,Y,Y,N,
3,9,CA,San Francisco,,SAN FRANCISCO P.U.C.,Susan Leal,"1155 Market Street, 4nd Floor",,San Francisco,CA,94103,4155543160,,SLEAL@SFWATER.ORG,Oceanside WPCP,06002032005,Public,18050006,San Francisco Coastal South,,14th Congressional District,12th Congressional District,CA0037681,Individual Permit,3500 GREAT HIGHWAY,,SAN FRANCISCO,CA,94132-1000,,,N,N,N,N,"Collection: Combined Sewers, Treatment Plant",Wastewater,,"Collection: Combined Sewers, Treatment Plant",Wastewater,,Single Point,Center/Centroid,37.7284 N,122.5063 W,North American Datum of 1983,Address Matching-House Number,,NPDES Permit,,N,San Francisco Estuary,443709,Federal Accepted,N,Y,Y,N,
4,9,CA,Santa Barbara,,Vandenberg Village Community Services District,Leo Havener,3757 Constellation Road,,Lompoc,CA,93436-1495,8057332475,8057332109,LHAVENER@VVCSD.ORG,Vandenberg Village Collection Sys.,06003092001,Public,18060010,Santa Ynez,,24th Congressional District,,,,,,,,,,,N,N,N,N,Collection: Separate Sewers,Wastewater,,Collection: Separate Sewers,Wastewater,,Single Point,Facility/Station Location,34.7006 N,120.4667 W,World Geodetic System of 1984,Address Matching-Block Face, ,Manual,19-AUG-04,N,,397897,Federal Accepted,Y,,,N,
5,9,CA,San Diego,,San Diego Storm Water Pollution Prevention Program,,"9370 Chesapeake Drive Ste 100, M.S.1900",,San Diego,CA,92123,(619) 235-1000,,swppp@sandiego.gov,San Diego Storm Water System,06029031001,Public,18070304,San Diego,,51st Congressional District,,CAS108758,Individual Permit,SAN DIEGO CITY,,SAN DIEGO,CA,92101,,,N,N,N,N,Phase I MS4,Stormwater,,Phase I MS4,Stormwater,,Single Point,Facility/Station Location,32.7512 N,117.1009 W,North American Datum of 1983,Address Matching-House Number,,NPDES Permit,,N,,402846,Federal Accepted,N,,,N,
6,9,CA,Riverside,,Eastern Municipal Water District,John Jannone,P.O. Box 8300,,Perris,CA,92572-8300,9519283777,9519286177,JANNONEJ@EMWD.ORG,Hemet Collection System,06008003002,Public,18070202,San Jacinto,,41st Congressional District,,,,,,,,,Eastern MWD,,N,N,N,N,Collection: Separate Sewers,Wastewater,,Collection: Separate Sewers,Wastewater,,Single Point,Center/Centroid,33.738 N,116.8945 W,North American Datum of 1983,Interpolation-Map,100000,WLV,05-JAN-09,N,,429742,Federal Accepted,N,,,N,
7,9,CA,San Luis Obispo,,"Arroyo Grande, City of",Shane M. Taylor,P.O. Box 550,,Arroyo Grande,CA,93421,8054735464,8054735462,STAYLOR@ARROYOGRANDE.ORG,Arroyo Grande Collection System,06003094001,Public,18060006,Central Coastal,,24th Congressional District,,,,,,,,,,,N,N,N,N,"Collection: Separate Sewers, Onsite Wastewater Treatment System","Decentralized Wastewater Treatment, Wastewater",,"Collection: Separate Sewers, Onsite Wastewater Treatment System","Decentralized Wastewater Treatment, Wastewater",,Single Point,Facility/Station Location,35.125 N,120.575 W,North American Datum of 1983,Address Matching-Digitized, ,Manual,24-SEP-04,N,,406088,Federal Accepted,N,,,N,Arroyo Grande
8,9,CA,Los Angeles,,"Malibu, City of",Claudio Sanchez,23815 Stuart Ranch Road,,Malibu,CA,90265,3104562489,3104563356,CSANCHEZ@CI.MALIBU.CA.US,Malibu Storm Water System,06024008010,Public,18070104,Santa Monica Bay,,33rd Congressional District,26th Congressional District,,,,,,,,,,N,N,N,N,Phase II MS4,Stormwater,,Phase II MS4,Stormwater,,Single Point,Center/Centroid,34.0372 N,118.6853 W,North American Datum of 1927,Interpolation-Map, ,Manual,18-NOV-04,N,Santa Monica Bay,424998,Federal Accepted,N,,,N,
9,9,CA,Los Angeles,,"Vernon, City of",Ehab Maximous,4305 Santa Fe Avenue,,Vernon,CA,90058,3235838811,3238261435,EMAXIMOUS@CI.VERNON.CA.US,Vernon Collection System,06004051001,Public,18070105,Los Angeles,,40th Congressional District,34th Congressional District,,,,,,,,,,N,N,N,N,Collection: Separate Sewers,Wastewater,,Collection: Separate Sewers,Wastewater,,Single Point,Facility/Station Location,34.0051 N,118.2304 W,World Geodetic System of 1984,Address Matching-Block Face, ,Manual,23-NOV-04,N,Santa Monica Bay,427399,Federal Accepted,Y,,,N,
