Facility/Project Name,CWNS Number,Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Present Residential Downstream Collection Population,Present Residential Actual Receiving Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Projected Residential Downstream Collection Population,Projected Residential Actual Receiving Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
TULELAKE STP,06001001001,"1,271",,284,,"1,271",0,1271,"1,546",,"3,633",,"1,546",0,1546,CA0023272,Individual Permit,"TULELAKE, CITY OF",Siskiyou,Lost,18010204,1st Congressional District,CA,9,MAP
MONTAGUE WWTF,06001002001,"1,456",,,,"1,456",0,1456,"1,610",,,,"1,610",0,1610,,,"MONTAGUE, CITY OF",Siskiyou,Shasta,18010207,1st Congressional District,CA,9,MAP
WEAVERVILLE WWTF,06001003001,"4,000",,500,,"4,000",0,4000,"10,000",,300,,"10,000",0,10000,,,WEAVERVILLE SAN DIST,Trinity,Trinity,18010211,2nd Congressional District,CA,9,MAP
Westport STF,06001004001,135,,,,135,0,135,170,,,,170,0,170,,,WESTPORT COUNTY WATER DISTRICT,Mendocino,Big-Navarro-Garcia,18010108,2nd Congressional District,CA,9,MAP
BLUE LAKE WWTF,06001007001,"1,225",,146,,"1,225",0,1225,"1,400",,146,,"1,400",0,1400,,,"BLUE LAKE, CITY OF",Humboldt,Mad-Redwood,18010102,2nd Congressional District,CA,9,MAP
Ferndale WWTF,06001008001,"1,457",,,,"1,457",0,1457,"1,450",,,,"1,450",0,1450,CA0022721,Individual Permit,"FERNDALE, CITY OF",Humboldt,Lower Eel,18010105,2nd Congressional District,CA,9,MAP
FORESTVILLE WWTF,06001009001,827,,,,827,0,827,"1,200",,,,"1,200",0,1200,CA0023043,Individual Permit,FORESTVILLE COUNTY SD,Sonoma,Russian,18010110,2nd Congressional District,CA,9,MAP
ELK RIVER WWTF,06001010005,"26,960","15,800",,,"42,760",0,42760,"28,065","15,800",,,"43,865",0,43865,CA0024449,Individual Permit,"EUREKA, CITY OF",Humboldt,Mad-Redwood,18010102,2nd Congressional District,CA,9,MAP
FORTUNA WWTF,06001011001,"11,840",367,,,"12,207",0,12207,"12,142",367,,,"12,509",0,12509,CA0022730,Individual Permit,"FORTUNA, CITY OF",Humboldt,Lower Eel,18010105,2nd Congressional District,CA,9,MAP
GARBERVILLE WWTF,06001012001,"1,300",,19,,"1,300",0,1300,"1,356",,19,,"1,356",0,1356,,,GARBERVILLE SAN DIST,Humboldt,South Fork Eel,18010106,2nd Congressional District,CA,9,MAP
HOPLAND WWTF,06001013001,300,,,,300,0,300,"1,000",,,,"1,000",0,1000,,,HOPLAND PUD,Mendocino,Russian,18010110,2nd Congressional District,CA,9,MAP
Hopland Band WWTP,06001014001,140,,,,140,0,140,900,,,,900,0,900,,,Hopland Band of Pomo Indians,Mendocino,Russian,18010110,2nd Congressional District,CA,9,MAP
MCKINLEYVILLE WWTF,06001015001,"12,900",,"1,099",,"12,900",0,12900,"15,000",,"1,099",,"15,000",0,15000,CA0024490,Individual Permit,MCKINLEYVILLE COM.SER.D,Humboldt,Mad-Redwood,18010102,2nd Congressional District,CA,9,MAP
MIRANDA WWTF,06001016001,325,,36,,325,0,325,383,,36,,383,0,383,,,Miranda Community Services District,Humboldt,Mad-Redwood,18010102,2nd Congressional District,CA,9,MAP
Occidental WWTF,06001017001,"1,250","1,093",200,,"2,343",0,2343,"1,700","1,300",200,,"3,000",0,3000,CA0023051,Individual Permit,SONOMA COUNTY WATER AGENCY,Sonoma,Russian,18010110,2nd Congressional District,CA,9,MAP
REDWAY WWTF,06001019001,821,,108,,821,0,821,889,,108,,889,0,889,CA0022781,Individual Permit,REDWAY SANITARY DISTRICT,Humboldt,South Fork Eel,18010106,2nd Congressional District,CA,9,MAP
RIO DELL WWTF,06001020001,"3,100",,,,"3,100",0,3100,"3,503",,,,"3,503",0,3503,CA0022748,Individual Permit,"RIO DELL, CITY OF",Humboldt,Lower Eel,18010105,2nd Congressional District,CA,9,MAP
Willow Creek WWTF,06001023001,"1,754",,"1,700",,"1,754",0,1754,"1,850",,,,"1,850",0,1850,,,Willow Creek Community Services District,Humboldt,Trinity,18010211,8th Congressional District,CA,9,MAP
Happy Camp WWTP,06001026001,"1,050",,,,"1,050",0,1050,"1,500",,,,"1,500",0,1500,,,Happy Camp Sanitary District,Siskiyou,Lower Klamath,18010209,1st Congressional District,CA,9,MAP
Willits WWTF,06001027001,"7,200",,501,,"7,200",0,7200,"7,200",,501,,"7,200",0,7200,CA0023060,Individual Permit,City of Willits,Mendocino,Upper Eel,18010103,2nd Congressional District,CA,9,MAP
Fort Bragg WWTP,06001028001,"7,273",,,,"7,273",0,7273,"10,037",,,,"10,037",0,10037,CA0023078,Individual Permit,FT BRAGG MID,Mendocino,Big-Navarro-Garcia,18010108,2nd Congressional District,CA,9,MAP
Russian River County WWTF,06001029001,"7,377",,,,"7,377",0,7377,"8,188",,,,"8,188",0,8188,CA0024058,Individual Permit,SONOMA COUNTY WATER AGENCY,Sonoma,Russian,18010110,2nd Congressional District,CA,9,MAP
SONOMA CO AIRPORT WWTF,06001031001,270,,683,,270,0,270,304,,769,,304,0,304,,,"SONOMA      ,COUNTYOF",Sonoma,Russian,18010110,5th Congressional District,CA,9,MAP
GRATON WWTF,06001032001,"1,461",,,,"1,461",0,1461,"1,800",,,,"1,800",0,1800,CA0023639,Individual Permit,GRATON SANITATION ZONE,Sonoma,Russian,18010110,2nd Congressional District,CA,9,MAP
CLOVERDALE WWTF,06001035001,"8,629",,"1,024",,"8,629",0,8629,"8,812",,"1,024",,"8,812",0,8812,CA0022977,Individual Permit,"CLOVERDALE, CITY OF",Sonoma,Russian,18010110,2nd Congressional District,CA,9,MAP
WINDSOR WWTF,06001036001,"26,950",,,,"26,950",0,26950,"32,071",,,,"32,071",0,32071,CA0023345,Individual Permit,TOWN OF WINDSOR,Sonoma,Russian,18010110,2nd Congressional District,CA,9,MAP
BODEGA BAY WWTF,06001038001,"1,900",,,,"1,900",0,1900,"1,800",,,,"1,800",0,1800,,,BODEGA BAY PUBLIC UTILITY DISTRICT,Sonoma,Gualala-Salmon,18010109,2nd Congressional District,CA,9,MAP
Covelo WWTP,06001040001,890,,,,890,0,890,"1,025",,,,"1,025",0,1025,CA0023574,Individual Permit,Covelo Community Services District,Mendocino,Middle Fork Eel,18010104,2nd Congressional District,CA,9,MAP
Crescent City WWTF,06001041001,"4,006","9,064",,,"13,070",0,13070,"5,400","10,414",,,"15,814",0,15814,CA0022756,Individual Permit,City of Crescent City,Del Norte,Smith,18010101,2nd Congressional District,CA,9,MAP
Yreka WWTF,06001042001,"7,290",,,,"7,290",0,7290,"9,500",,,,"9,500",0,9500,,,"YREKA, CITY OF",Siskiyou,Shasta,18010207,1st Congressional District,CA,9,MAP
Oakmont WWTP,06001045003,"2,300",,499,,"2,300",0,2300,"4,400",,499,,"4,400",0,4400,,,"SANTA ROSA, CITY OF",Sonoma,Russian,18010110,5th Congressional District,CA,9,MAP
Arcata WWTF,06001047001,"17,752",,91,,"17,752",0,17752,"18,800",,91,,"18,800",0,18800,CA0022713,Individual Permit,"ARCATA, CITY OF",Humboldt,Mad-Redwood,18010102,2nd Congressional District,CA,9,MAP
POINT ARENA WWTF,06001048001,837,,73,,837,0,837,"1,109",,"2,118",,"1,109",0,1109,,,POINT ARENA,Mendocino,Big-Navarro-Garcia,18010108,2nd Congressional District,CA,9,MAP
ANCHOR BAY WWTF,06001049001,100,,,,100,0,100,115,,,,115,0,115,CA0024040,Individual Permit,MENDOCINO CWWD NO 2,Mendocino,Big-Navarro-Garcia,18010108,2nd Congressional District,CA,9,MAP
CALPELLA WWTP,06001050001,450,,,,450,0,450,525,,,,525,0,525,,,Calpella County Water District,Mendocino,Russian,18010110,2nd Congressional District,CA,9,MAP
WEED WWTF,06001054001,"2,959",,,,"2,959",0,2959,"3,015",,,,"3,015",0,3015,,,"WEED, CITY OF",Siskiyou,Shasta,18010207,1st Congressional District,CA,9,MAP
Shelter Cove WWTF,06001055001,"1,045",,,,"1,045",0,1045,"2,245",,,,"2,245",0,2245,CA0023027,Individual Permit,Humboldt County Resort Improvement District No. 1,Humboldt,Mattole,18010107,2nd Congressional District,CA,9,MAP
Lake Shastina WWTF,06001056001,713,,301,,713,0,713,"1,100",,301,,"1,100",0,1100,,,Lake Shastina Community Services District,Siskiyou,Shasta,18010207,1st Congressional District,CA,9,MAP
DORRIS WWTF,06001064001,886,,,,886,0,886,"1,000",,,,"1,000",0,1000,,,"DORRIS, CITY OF",Siskiyou,Butte,18010205,1st Congressional District,CA,9,MAP
Etna Wastewater Treatment Facility,06001065001,781,,,,781,0,781,800,,,,800,0,800,,,"ETNA, CITY OF",Siskiyou,Scott,18010208,1st Congressional District,CA,9,MAP
Redwood Park CSD WWTP,06001067001,85,,,,85,0,85,85,,,,85,0,85,,,Redwood Park Community Services District,Del Norte,Lower Klamath,18010209,2nd Congressional District,CA,9,MAP
LOLETA WWTF,06001069001,750,,,,750,0,750,878,,,,878,0,878,CA0023671,Individual Permit,LOLETA SANITARY DISTRICT,Humboldt,Mad-Redwood,18010102,2nd Congressional District,CA,9,MAP
Mendocino City WWTF,06001070001,"1,999",,281,,"1,999",0,1999,"2,772",,281,,"2,772",0,2772,CA0022870,Individual Permit,Mendocino City Community Services District,Mendocino,Big-Navarro-Garcia,18010108,2nd Congressional District,CA,9,MAP
REDWOODS C.C. WWTF,06001073001,176,,10,,176,0,176,181,,10,,181,0,181,CA0006700,Individual Permit,COLLEGE OF THE REDWOODS,Humboldt,Mad-Redwood,18010102,2nd Congressional District,CA,9,MAP
Ukiah WWTF,06001079001,"15,850","5,503",799,,"21,353",0,21353,"17,000","7,000",799,,"24,000",0,24000,CA0022888,Individual Permit,City of Ukiah,Mendocino,Russian,18010110,2nd Congressional District,CA,9,MAP
HEALDSBURG WWTF,06001082001,"11,442",,,,"11,442",0,11442,"13,340",,,,"13,340",0,13340,,,"HEALDSBURG, CITY OF",Sonoma,Russian,18010110,2nd Congressional District,CA,9,MAP
NEWELL WWTF,06001085001,310,,96,,310,0,310,310,,96,,310,0,310,,,Newell County Water District,Modoc,Lost,18010204,1st Congressional District,CA,9,MAP
Sea Ranch WWTF,06001092001,300,,,,300,0,300,350,,,,350,0,350,,,SEA RANCH SANITATION ZONE,Sonoma,Gualala-Salmon,18010109,2nd Congressional District,CA,9,MAP
MANILA WWTF,06001093001,785,,,,785,0,785,"1,297",,,,"1,297",0,1297,,,Manila Community Services District,Humboldt,Mad-Redwood,18010102,2nd Congressional District,CA,9,MAP
Geyserville WWTF,06001096001,809,,,,809,0,809,979,,,,979,0,979,,,Geyserville Sanitation Zone,Sonoma,Russian,18010110,2nd Congressional District,CA,9,MAP
LARKFIELD-WIKIUP WWTF,06001099001,"9,306",,,,"9,306",0,9306,"9,771",,,,"9,771",0,9771,,,Airport/Larkfield/Wikiup Sanitation Zone,Sonoma,Russian,18010110,5th Congressional District,CA,9,MAP
FORT JONES WWTF,06001168001,660,,,,660,0,660,700,,,,700,0,700,,,"FORT JONES, TOWN OF",Siskiyou,Scott,18010208,1st Congressional District,CA,9,MAP
Dublin-San Ramon WWTF,06002006001,"49,453","71,269",,,"120,722",0,120722,"54,068","78,681",,,"132,749",0,132749,CA0037613,Individual Permit,Dublin San Ramon Services District,Alameda,San Francisco Bay,18050004,15th Congressional District,CA,9,MAP
SUNNYVALE WWTF,06002008001,"134,522",,,,"134,522",0,134522,"146,738",,,,"146,738",0,146738,CA0037621,Individual Permit,"SUNNYVALE, CITY OF",Santa Clara,Coyote,18050003,17th Congressional District,CA,9,MAP
Burlingame WWTP,06002011001,"32,696",,,,"32,696",0,32696,"31,606",,,,"31,606",0,31606,CA0037788,Individual Permit,"BURLINGAME, CITY OF",San Mateo,San Francisco Bay,18050004,14th Congressional District,CA,9,MAP
Palo Alto Regional WQCP,06002012001,"103,000","116,798",,,"219,798",0,219798,"129,000","121,588",,,"250,588",0,250588,CA0037834,Individual Permit,"PALO ALTO, CITY OF",Santa Clara,Coyote,18050003,18th Congressional District,CA,9,MAP
SASM WWTF,06002015001,"14,172","5,389",,,"19,561",0,19561,"16,844","5,741",,,"22,585",0,22585,CA0037711,Individual Permit,SEWERAGE AGCY OF SO MARIN,Marin,San Pablo Bay,18050002,2nd Congressional District,CA,9,MAP
Port Costa WWTF,06002021001,350,,,,350,0,350,390,,,,390,0,390,CA0037885,Individual Permit,Contra Costra Public Works Department,Contra Costa,Suisun Bay,18050001,5th Congressional District,CA,9,MAP
Delta Diablo Sanitation Dist. WWTF,06002023001,"189,000","185,054",,,"374,054",0,374054,"237,699","197,171",,,"434,870",0,434870,CA0038547,Individual Permit,Delta Diablo Sanitation District,Contra Costa,San Joaquin Delta,18040003,11th Congressional District,CA,9,MAP
MOUNTAIN VIEW WWTF,06002024001,"22,000",,16,,"22,000",0,22000,"24,000",,27,,"24,000",0,24000,CA0037770,Individual Permit,MOUNTAIN VIEW SAN DIST,Contra Costa,Suisun Bay,18050001,5th Congressional District,CA,9,MAP
Central Contra Costa WWTF,06002025001,"462,000","120,896",,,"582,896",0,582896,"500,000","140,000",,,"640,000",0,640000,CA0037648,Individual Permit,Central Contra Costa Sanitary District,Contra Costa,Suisun Bay,18050001,11th Congressional District,CA,9,MAP
Concord Collection System,06002026001,"120,896",,500,,"120,896",120896,0,"140,000",,500,,"140,000",140000,0,,,"Concord, City of",Contra Costa,Suisun Bay,18050001,11th Congressional District,CA,9,MAP
Hayward WPCF,06002029001,"147,113",,,,"147,113",0,147113,"170,000",,,,"170,000",0,170000,CA0037869,Individual Permit,"HAYWARD, CITY OF",Alameda,San Francisco Bay,18050004,13th Congressional District,CA,9,MAP
RICHMOND WWTF,06002030001,"101,373",,,,"101,373",0,101373,"121,500",,,,"121,500",0,121500,CA0038539,Individual Permit,"RICHMOND, CITY OF",Contra Costa,San Pablo Bay,18050002,11th Congressional District,CA,9,MAP
North Point WPCP,06002032002,1,,,,1,0,1,1,,,,1,0,1,CA0037664,Individual Permit,SAN FRANCISCO P.U.C.,San Francisco,San Francisco Bay,18050004,12th Congressional District,CA,9,MAP
Southeast WPCP,06002032003,"547,000","57,625",,,"604,625",0,604625,"593,000","62,222",,,"655,222",0,655222,CA0037664,Individual Permit,SAN FRANCISCO P.U.C.,San Francisco,San Francisco Bay,18050004,12th Congressional District,CA,9,MAP
Treasure Island WWTF,06002032004,"4,818",,,,"4,818",0,4818,"12,941",,,,"12,941",0,12941,CA0110116,Individual Permit,SAN FRANCISCO P.U.C.,Contra Costa,San Francisco Bay,18050004,12th Congressional District,CA,9,MAP
Oceanside WPCP,06002032005,"194,000",,,,"194,000",0,194000,"217,500",,,,"217,500",0,217500,CA0037681,Individual Permit,SAN FRANCISCO P.U.C.,San Francisco,San Francisco Coastal South,18050006,14th Congressional District,CA,9,MAP
NAPA SANIT. DIST WWRF,06002033001,"77,348",,267,,"77,348",0,77348,"81,678",,267,,"81,678",0,81678,CA0037575,Individual Permit,NAPA SANITATION DISTRICT,Napa,San Pablo Bay,18050002,5th Congressional District,CA,9,MAP
C & H SUGAR JOINT WWTP,06002034002,,"4,000",,,"4,000",0,4000,,"4,478",,,"4,478",0,4478,CA0005240,Individual Permit,"CROCKETT-VALONA SD, C&H",Contra Costa,San Pablo Bay,18050002,5th Congressional District,CA,9,MAP
East Bay MUD Main WWTP,06002036001,"640,000","141,359",,,"781,359",0,781359,"750,000","144,300",,,"894,300",0,894300,CA0037702,Individual Permit,EAST BAY MUD,Alameda,San Francisco Bay,18050004,13th Congressional District,CA,9,MAP
Fairfield-Suisun WWTP,06002038001,"152,000",,,,"152,000",0,152000,"162,000",,,,"162,000",0,162000,CA0038024,Individual Permit,Fairfield-Suisun Sewer District,Solano,Suisun Bay,18050001,3rd Congressional District,CA,9,MAP
MILLBRAE MADRONE WWTF,06002039001,"21,175",,,,"21,175",0,21175,"21,549",,,,"21,549",0,21549,CA0037532,Individual Permit,"MILLBRAE, CITY OF",San Mateo,San Francisco Bay,18050004,14th Congressional District,CA,9,MAP
Daly City WWTP,06002040001,"102,593",232,334,,"102,825",0,102825,"100,091",618,334,,"100,709",0,100709,CA0037737,Individual Permit,"Daly City, City of",San Mateo,San Francisco Coastal South,18050006,14th Congressional District,CA,9,MAP
San Jose/Santa Clara WPCP,06002041001,"931,000","395,938","3,500",,"1,326,938",0,1326938,"975,000","447,364","2,000",,"1,422,364",0,1422364,CA0037842,Individual Permit,"San Jose, City of, Environmental Services Depart.",Santa Clara,Coyote,18050003,17th Congressional District,CA,9,MAP
SAN LEANDRO WPCP,06002042001,"79,452",,,,"79,452",0,79452,"85,000",,,,"85,000",0,85000,,,"SAN LEANDRO, CITY OF",Alameda,San Francisco Bay,18050004,13th Congressional District,CA,9,MAP
San Mateo WWTF,06002043001,"95,500","49,544",,,"145,044",0,145044,"109,000","64,526",,,"173,526",0,173526,CA0037541,Individual Permit,"SAN MATEO, CITY OF",San Mateo,San Francisco Bay,18050004,14th Congressional District,CA,9,MAP
Central Marin San. Agency WWTF,06002044004,,"114,000",,,"114,000",0,114000,,"118,993",,,"118,993",0,118993,CA0038628,Individual Permit,Central Marin Sanitation Agency,Marin,San Pablo Bay,18050002,2nd Congressional District,CA,9,MAP
SO SF-SAN BRUNO WWTF,06002046001,"64,307","41,000",,,"105,307",0,105307,"67,387","41,250",,,"108,637",0,108637,CA0038130,Individual Permit,CITY OF SOUTH SAN FRANCISCO,San Mateo,San Francisco Bay,18050004,14th Congressional District,CA,9,MAP
VSFCD WWTF,06002047001,"115,942",,,,"115,942",0,115942,"200,000",,,,"200,000",0,200000,CA0037699,Individual Permit,Vallejo Sanitation & Flood Control District,Solano,San Pablo Bay,18050002,5th Congressional District,CA,9,MAP
Oro Loma WWTF,06002052001,"87,600","58,000",,,"145,600",0,145600,"93,800","61,045",,,"154,845",0,154845,CA0037869,Individual Permit,Oro Loma Sanitary District,Alameda,San Francisco Bay,18050004,13th Congressional District,CA,9,MAP
Calistoga WWTP,06002053001,"5,229",,,,"5,229",0,5229,"5,375",,,,"5,375",0,5375,CA0037966,Individual Permit,"CALISTOGA, CITY OF",Napa,San Pablo Bay,18050002,5th Congressional District,CA,9,MAP
American Canyon WWTF,06002054001,"19,809",,,,"19,809",0,19809,"29,489",,,,"29,489",0,29489,CA0038768,Individual Permit,"American Canyon, City of",Napa,San Pablo Bay,18050002,5th Congressional District,CA,9,MAP
SAN PABLO WWTF,06002057001,"90,000",,,,"90,000",0,90000,"95,000",,,,"95,000",0,95000,,,West County Wastewater District,Contra Costa,San Pablo Bay,18050002,11th Congressional District,CA,9,MAP
Sewer Authority Mid-Coastside WWTF,06002058001,,"30,500",,,"30,500",0,30500,,"32,320",,,"32,320",0,32320,CA0038598,Individual Permit,Sewer Authority Mid-Coastside,San Mateo,San Francisco Coastal South,18050006,14th Congressional District,CA,9,MAP
OCEANA MARIN WWTF,06002060003,226,,262,,226,0,226,576,,262,,576,0,576,,,North Marin County Water District,Marin,San Pablo Bay,18050002,2nd Congressional District,CA,9,MAP
Tomales WWTP,06002060007,210,,0,,210,0,210,247,,40,,247,0,247,,,Tomales Village Community Services District,Marin,Tomales-Drake Bays,18050005,2nd Congressional District,CA,9,MAP
Marin Co. SD #5 WWTF,06002063001,"4,400","2,449",,,"6,849",0,6849,"5,350","2,142",,,"7,492",0,7492,CA0037753,Individual Permit,Marin Co. Sanitary District #5,Marin,San Pablo Bay,18050002,2nd Congressional District,CA,9,MAP
PARADISE COVE WWTF,06002063002,54,,136,,54,0,54,232,,136,,232,0,232,,,MARIN SD NO. 5,Marin,San Pablo Bay,18050002,2nd Congressional District,CA,9,MAP
RODEO WWTF,06002064001,"8,515",,"1,700",,"8,515",0,8515,"12,422",,"1,700",,"12,422",0,12422,CA0037826,Individual Permit,RODEO SAN. DIST.,Contra Costa,San Pablo Bay,18050002,5th Congressional District,CA,9,MAP
Sonoma Valley WWTF,06002069001,"44,968",,,,"44,968",0,44968,"49,914",,,,"49,914",0,49914,CA0037800,Individual Permit,SONOMA COUNTY WATER AGENCY,Sonoma,San Pablo Bay,18050002,5th Congressional District,CA,9,MAP
Novato WWTF,06002071001,"53,889",590,985,,"54,479",0,54479,"59,010",790,985,,"59,800",0,59800,CA0037958,Individual Permit,Novato Sanitary District,Marin,San Pablo Bay,18050002,2nd Congressional District,CA,9,MAP
Angel Island State Park WWTF,06002073001,30,,,,30,0,30,30,,,,30,0,30,,,Angel Island State Park,Marin,San Pablo Bay,18050002,2nd Congressional District,CA,9,MAP
ST. HELENA WWTF,06002074001,"5,875",,"1,040",,"5,875",0,5875,"6,387",,520,,"6,387",0,6387,CA0038016,Individual Permit,"ST. HELENA, CITY OF",Napa,San Pablo Bay,18050002,5th Congressional District,CA,9,MAP
Alvarado WWTF,06002081001,"171,700","178,300",,,"350,000",0,350000,"191,686","194,160",,,"385,846",0,385846,CA0037869,Individual Permit,UNION SANITARY DISTRICT,Alameda,San Francisco Bay,18050004,13th Congressional District,CA,9,MAP
