PARAMETER_CODE,PARAMETER_DESC,POLLUTANT_CODE,STATUS_FLAG,UNIT_GROUP_CODE,PERCENT_REMOVAL_FLAG,PERCENT_EXCEEDENCE_FLAG,SNC_FLAG,CATEGORY
51863,Number of connections,1,A,128,N,Y,,Other
51902,Number of Consecutive Exceedances,1,A,128,N,Y,,Other
51592,"Diesel oil, no. 2",6,A,59,N,Y,1,FOG
51593,"Fuel oil, no. 4",8,A,59,N,Y,1,FOG
81561,"Butadiene, total",137,A,59,,Y,2,Toxic Organics
51695,"1,3-Butadiene",137,A,59,N,Y,2,Toxic Organics
34200,Acenaphthylene,246,A,59,,Y,2,Toxic Organics
77001,Acetaldehyde,250,A,59,,Y,2,Toxic Organics
697,Acetic acid,255,A,59,,Y,2,Toxic Organics
51196,Acetonitrile,278,A,59,,Y,,Toxic Organics
76997,Methyl cyanide [acetonitrile],278,A,59,,Y,2,Toxic Inorganics
73207,Acetonitrile,278,A,59,,Y,,Toxic Organics
82206,Acidity,301,A,59,,Y,1,pH
82056,"Aluminum, total",360,A,114,,Y,1,Metals
85824,"Aluminum, acid soluble",360,A,59,,Y,1,pH
1104,"Aluminum, total recoverable",360,A,59,,Y,1,Metals
1105,"Aluminum, total [as Al]",360,A,59,,Y,1,Metals
1106,"Aluminum, dissolved [as Al]",360,A,59,,Y,1,Metals
1108,"Aluminum, total sludge, dry wt.",360,A,59,,Y,,Metals
1251,Aluminum,360,A,107,,Y,1,Metals
1308,"Aluminum, potentially dissolvd",360,A,59,,Y,1,Metals
1105A,Aluminum,360,A,144,N,Y,,Metals
1105T,Aluminum [total],360,A,118,N,Y,1,Metals
51912,"Aluminum, total [as Al] [Can Production]",360,A,179,N,Y,1,Metals
51772,Aluminum oxide,365,A,59,N,Y,1,Metals
51085,"Nitrogen, ammonia [NH3-N]",375,A,59,,Y,,Toxic Organics
51095,"Nitrogen, ammonia [NH3-N], [sludge]",375,A,31,,Y,,Toxic Organics
34726,"Nitrogen, ammonia, total [as NH3]",375,A,59,N,Y,1,Nutrients
61536,"Nitrogen, ammonia, sludge solid",375,A,59,N,Y,1,Nutrients
61574,Ammonia [as N] + unionized ammonia,375,A,59,,Y,1,Nutrients
151,"Nitrogen, ammonia per cfs of streamflow",375,A,107,,Y,1,Nutrients
175,"Nitrogen, ammonia, percent removal",375,A,16,Y,Y,1,Nutrients
82294,"Nitrogen, ammonia, sludge, tot dry wgt",375,A,59,,Y,1,Nutrients
51446,"Nitrogen, Ammonia  Total",375,A,118,,Y,1,Nutrients
608,"Nitrogen, ammonia dissolved",375,A,59,,Y,1,Nutrients
609,"Ammonia nitrogen, total, [as N] 30 day",375,A,59,N,Y,1,Nutrients
610,"Nitrogen, ammonia total [as N]",375,A,59,,Y,1,Nutrients
611,"Nitrogen, ammonia in bottom deposits",375,A,59,,Y,1,Nutrients
612,"Nitrogen, ammonia, tot unionized [as N]",375,A,59,,Y,1,Nutrients
619,"Ammonia, unionized",375,A,59,,Y,1,Nutrients
0610D,"Nitrogen, ammonia total [as N] [per discharge]",375,A,20,N,Y,1,Nutrients
0610S,"Nitrogen, ammonia total [as N] [per season]",375,A,165,N,Y,1,Nutrients
34220,Anthracene,428,A,59,,Y,2,Toxic Organics
51692,PCB-Aroclor [mixture unspecified],447,A,59,N,Y,2,Toxic Organics
39514,"PCB-1016, bot. sed., dry weight",448,A,59,,Y,,Toxic Organics
34671,PCB-1016,448,A,59,,Y,2,Toxic Organics
39492,PCB-1232,451,A,59,,Y,2,Toxic Organics
39495,"PCB-1232 bot. dep., dry solid",451,A,59,,Y,,Toxic Organics
39500,PCB-1248,454,A,59,,Y,2,Toxic Organics
39503,"PCB-1248, bot. dep.,dry solid",454,A,59,,Y,,Toxic Organics
39508,PCB-1260,457,A,59,,Y,2,Toxic Organics
39511,"PCB-1260, bot. dep., dry solid",457,A,59,,Y,,Toxic Organics
51581,Arochlor 1268,460,A,59,N,Y,2,Toxic Organics
49565,"Arsenic total, dry weight, sludge",467,A,101,,Y,,Toxic Inorganics
61521,"Arsenic, sludge tot. dry wt [as As]",467,A,59,,Y,,Toxic Inorganics
1000,"Arsenic, dissolved [as As]",467,A,59,,Y,2,Toxic Inorganics
1002,"Arsenic, total [as As]",467,A,59,,Y,2,Toxic Inorganics
1003,"Arsenic, dry weight",467,A,101,,Y,2,Toxic Inorganics
978,"Arsenic, total recoverable",467,A,59,,Y,2,Toxic Inorganics
1252,Arsenic,467,A,108,,Y,,Toxic Inorganics
1309,"Arsenic, potentially dissolved",467,A,59,,Y,2,Toxic Inorganics
997,"Arsenic, Inorganic",467,A,59,N,Y,2,Toxic Inorganics
0978A,"Arsenic, total recoverable",467,A,17,N,Y,2,Toxic Inorganics
34225,Asbestos [fibrous],500,A,59,,Y,2,Other
34228,Asbestos [fibrous] dry weight,500,A,59,,Y,,Other
948,Asbestos,500,A,13,,Y,2,Other
976,"Fibers, ambiguous asbestos",500,A,13,,Y,,Other
977,"Fibers, non-amphibole, non-chrysotile asbestos",500,A,13,,Y,,Other
47006,Bacteria,558,A,96,N,Y,,Pathogens
51810,Bacteria - % samples exceeding limit,558,A,16,N,Y,,Pathogens
78466,"Barium, sludge, total, dry weight [as Ba]",572,A,59,,Y,1,Metals
1005,"Barium, dissolved [as Ba]",572,A,59,,Y,2,Metals
1007,"Barium, total [as Ba]",572,A,59,,Y,2,Metals
1008,Barium in bottom deposits [dry wgt],572,A,59,,Y,2,Metals
1009,"Barium, total recoverable",572,A,59,,Y,2,Metals
1311,"Barium, potentially dissolvd",572,A,59,,Y,2,Metals
34030,Benzene,603,A,59,,Y,2,Toxic Organics
34235,"Benzene, dissolved",603,A,59,,Y,2,Toxic Organics
34237,"Benzene, dry weight",603,A,59,,Y,2,Toxic Organics
78124,Benzene [volatile analysis],603,A,59,,Y,2,Toxic Organics
51784,"Benzene, calculated limit",603,A,59,N,Y,2,Toxic Organics
51782,Benzopyrene,630,A,59,N,Y,2,Toxic Organics
