ESMR_PARAMETER_DESC,CATEGORY,PARENT_CATEGORY,SUB_CATEGORY
Flow,Flow,Flow,
Total Coliform,Toxic Organics,Toxic Organics,Toxic Organic Snippets
pH,pH,pH,case-sensitive
"Total Suspended Solids (TSS), Percent Removal",Non-dissolved Solids,Non-dissolved Solids,
Dissolved Oxygen,Dissolved Oxygen,Dissolved Oxygen,
Chlorine Usage,Disinfectants,Disinfectants,
Oil and Grease,FOG,FOG,
Temperature,Temperature,Temperature,
"Chlorine, Total Residual",Disinfectants,Disinfectants,
Total Suspended Solids (TSS),Non-dissolved Solids,Non-dissolved Solids,
Biochemical Oxygen Demand (BOD) (5-day @ 20 Deg. C),Organics,Organics,
"BOD5 @ 20 Deg. C, Percent Removal",Organics,Organics,
"Sodium, Total Recoverable",Dissolved Solids,Dissolved Solids,
"Sulfate, Total (as SO4)",Dissolved Solids,Dissolved Solids,
Total Dissolved Solids (TDS),Dissolved Solids,Dissolved Solids,
Chloride,Dissolved Solids,Dissolved Solids,
Total Organic Carbon (TOC),Organics,Organics,
Fecal Coliform,Toxic Organics,Toxic Organics,Toxic Organic Snippets
"Ammonia, Total (as N)",Nutrients,Nutrients,Nitrogen
"Silica, Dissolved (as SiO2)",Non-dissolved Solids,Non-dissolved Solids,
Enterococci,Pathogens,Pathogens,
Settleable Solids,Non-dissolved Solids,Non-dissolved Solids,
Turbidity,Color,Color,
Urea,Nutrients,Nutrients,Nitrogen
"Nitrate, Total (as N)",Nutrients,Nutrients,Nitrogen
"Zinc, Total Recoverable",Metals,Metals,
TCDD Equivalents,Toxic Organics,Toxic Organics,Toxic Organic Compounts
"BHC, Sum",Toxic Organics,Toxic Organics,Toxic Organic Compounts
Vinyl Chloride,Dissolved Solids,Toxic Organics,Toxic Organic Compounts
Dibromochloromethane,Toxic Organics,Toxic Organics,Toxic Organic Snippets
"Nickel, Total Recoverable",Metals,Metals,
Bis (2-Chloroisopropyl) Ether,Toxic Organics,Toxic Organics,Toxic Organic Snippets
Heptachlor Epoxide,Toxic Organics,Toxic Organics,Toxic Organic Snippets
N-Nitrosodi-n-Propylamine,Toxic Organics,Toxic Organics,Toxic Organic Snippets
"Copper, Total Recoverable",Metals,Metals,
"Cadmium, Total Recoverable",Metals,Metals,
Toxaphene,Toxic Organics,Toxic Organics,Toxic Organic Snippets
Hexachloroethane,Toxic Organics,Toxic Organics,Prefixes
Chromium (III),Metals,Metals,
"Iron, Total Recoverable",Metals,Metals,
"Antimony, Total Recoverable",Metals,Metals,
Bis (2-Ethylhexyl) Phthalate,Toxic Organics,Toxic Organics,Toxic Organic Snippets
"Dichlorobenzenes, Sum",Toxic Organics,Toxic Organics,Toxic Organic Snippets
Dieldrin,Toxic Organics,Toxic Organics,Toxic Organic Compounts
"1,2-Dichloroethane",Toxic Organics,Toxic Organics,Toxic Organic Snippets
Methylene Chloride,Toxic Organics,Toxic Organics,Toxic Organic Snippets
Chlorobenzene,Toxic Organics,Toxic Organics,Toxic Organic Snippets
Di-n-butyl Phthalate,Toxic Organics,Toxic Organics,Toxic Organic Snippets
Heptachlor,Toxic Organics,Toxic Organics,Prefixes
"4,6-Dinitro-2-methylphenol",Toxic Organics,Toxic Organics,Toxic Organic Snippets
"2,4,6-Trichlorophenol",Toxic Organics,Toxic Organics,Toxic Organic Snippets
"Cyanide, Total (as CN)",Toxic Inorganics,Toxic Inorganics,Toxic Organic Snippets
Bis (2-Chloroethoxy) Methane,Toxic Organics,Toxic Organics,Toxic Organic Snippets
"1,1,2,2-Tetrachloroethane",Toxic Organics,Toxic Organics,Toxic Organic Snippets
"3,3-Dichlorobenzidine",Toxic Organics,Toxic Organics,Toxic Organic Snippets
"1,1,1-Trichloroethane",Toxic Organics,Toxic Organics,Toxic Organic Snippets
"Mercury, Total Recoverable",Metals,Metals,
"Halomethanes, Sum",Toxic Organics,Toxic Organics,Toxic Organic Snippets
Isophorone,Toxic Organics,Toxic Organics,Toxic Organic Compounts
"1,3-Dichloropropylenes, Sum",Toxic Organics,Toxic Organics,Toxic Organic Snippets
"1,1,2-Trichloroethane",Toxic Organics,Toxic Organics,Toxic Organic Snippets
Polynuclear Aromatic Hydrocarbons (PAHs),Toxic Organics,Toxic Organics,Toxic Organic Compounts
Acrolein,Toxic Organics,Uncategorized,
"DDT/DDD/DDE, Sum of P,P & O,P Isomers",Toxic Organics,Toxic Organics,Toxic Organic Compounts
Tetrachloroethene,Toxic Organics,Toxic Organics,Toxic Organic Snippets
Chloroform,Toxic Organics,Toxic Organics,Toxic Organic Snippets
"Silver, Total Recoverable",Metals,Metals,
Aldrin,Toxic Organics,Toxic Organics,Toxic Organic Compounts
Acrylonitrile,Toxic Organics,Toxic Organics,Toxic Organic Snippets
"Arsenic, Total Recoverable",Toxic Inorganics,Metals,
Bromoform,Toxic Organics,Toxic Organics,Toxic Organic Snippets
Chromium (VI),Metals,Metals,
"Beryllium, Total Recoverable",Metals,Metals,
Diethyl Phthalate,Toxic Organics,Toxic Organics,Toxic Organic Snippets
"1,4-Dichlorobenzene",Toxic Organics,Toxic Organics,Toxic Organic Snippets
Trichloroethene,Toxic Organics,Toxic Organics,Toxic Organic Snippets
Dichlorobromomethane,Toxic Organics,Toxic Organics,Toxic Organic Snippets
Hexachlorocyclopentadiene,Toxic Organics,Toxic Organics,Toxic Organic Snippets
Endrin,Toxic Organics,Toxic Organics,Toxic Organic Compounts
"1,1-Dichloroethylene",Toxic Organics,Toxic Organics,Toxic Organic Snippets
"1,2-Diphenylhydrazine",Toxic Organics,Toxic Organics,Toxic Organic Snippets
Benzidine,Toxic Organics,Toxic Organics,Toxic Organic Snippets
Benzene,Toxic Organics,Toxic Organics,Toxic Organic Snippets
N-Nitrosodiphenylamine,Toxic Organics,Toxic Organics,Toxic Organic Snippets
Radioactivity,Other,Other,
"1,1-Dichloroethane",Toxic Organics,Toxic Organics,Toxic Organic Snippets
"Thallium, Total Recoverable",Metals,Metals,
"Polychlorinated Biphenyls (PCBs), Sum",Toxic Organics,Toxic Organics,Toxic Organic Compounts
