CWNS_ID,DUMMY_ID,FACILITY_NAME,PERMIT_NUMBER,TOTAL_RES_POPULATION_2022,FACILITY_TYPE,CURRENT_DESIGN_FLOW,COUNTY_NAME,STATE_CODE
6000000065,6000000065,"Modesto, City of (Jennings WWTF)",['CA0079103'],204525.0,Treatment Plant,14.9,Stanislaus,CA
6000000066,6000000066,"Modesto, City of (Stormwater)",['CAS0085324'],0.0,Phase I MS4,,Stanislaus,CA
6000000068,6000000068,Oro Loma and Castro Valley Sanitary Districts (WPCP),"['CA0037869', 'CA0037559']",184091.0,Treatment Plant,20.0,Alameda,CA
6000000073,6000000073,South Orange County Wastewater Authority (Regional Treatment Plant),['CA0107611'],207450.0,Treatment Plant,12.0,Orange,CA
6000000075,6000000075t0,"San Juan Capistrano, City of (Collection: Separate Sewers)",['R9-2013-0001'],32458.0,Collection: Separate Sewers,,Orange,CA
6000000075,6000000075t1,"San Juan Capistrano, City of (Water Reuse)",['R9-2013-0001'],32458.0,Water Reuse,,Orange,CA
6000000076,6000000076,"Concord, City of (Stormwater)",['CAS612008'],0.0,Phase I MS4,,Contra Costa,CA
6000000077,6000000077,Camarillo Sanitary District (Stormwater),['R4-2010-0108'],0.0,Phase II MS4,,Ventura,CA
6000000078,6000000078,"Torrance, City of (Collection)",,132360.0,Collection: Pump Stations,,Los Angeles,CA
6000000078,6000000078t0,"Torrance, City of (Collection) (Collection: Separate Sewers)",,132360.0,Collection: Separate Sewers,,Los Angeles,CA
6000000080,6000000080t0,City of San Jose (Collection) (Collection: Interceptor Sewers),['CA0037842'],913086.0,Collection: Interceptor Sewers,,Santa Clara,CA
6000000080,6000000080t1,City of San Jose (Collection) (Collection: Separate Sewers),['CA0037842'],913086.0,Collection: Separate Sewers,,Santa Clara,CA
6000000081,6000000081,Coachella Valley Water District (Water Reclamation Plant No. 7),['R7-2022-0009'],90000.0,Collection: Pump Stations,5.0,Riverside,CA
6000000081,6000000081t0,Coachella Valley Water District (Water Reclamation Plant No. 7) (Collection: Separate Sewers),['R7-2022-0009'],90000.0,Collection: Separate Sewers,5.0,Riverside,CA
6000000081,6000000081t1,Coachella Valley Water District (Water Reclamation Plant No. 7) (Treatment Plant),['R7-2022-0009'],90000.0,Treatment Plant,5.0,Riverside,CA
6000000081,6000000081t2,Coachella Valley Water District (Water Reclamation Plant No. 7) (Water Reuse),['R7-2022-0009'],90000.0,Water Reuse,5.0,Riverside,CA
6000000082,6000000082,Coachella Valley Water District (Wastewater Reclamation Plant 10),['R7-2018-0001'],117000.0,Collection: Pump Stations,15.0,Riverside,CA
6000000082,6000000082t0,Coachella Valley Water District (Wastewater Reclamation Plant 10) (Collection: Separate Sewers),['R7-2018-0001'],117000.0,Collection: Separate Sewers,15.0,Riverside,CA
6000000082,6000000082t1,Coachella Valley Water District (Wastewater Reclamation Plant 10) (Treatment Plant),['R7-2018-0001'],117000.0,Treatment Plant,15.0,Riverside,CA
6000000082,6000000082t2,Coachella Valley Water District (Wastewater Reclamation Plant 10) (Water Reuse),['R7-2018-0001'],117000.0,Water Reuse,15.0,Riverside,CA
6000000083,6000000083,Coachella Valley Water District (Mid-Valley Water Reclamation Plant No. 4),['CA0104973'],56700.0,Collection: Pump Stations,9.9,Riverside,CA
6000000083,6000000083t0,Coachella Valley Water District (Mid-Valley Water Reclamation Plant No. 4) (Collection: Separate Sewers),['CA0104973'],56700.0,Collection: Separate Sewers,9.9,Riverside,CA
6000000083,6000000083t1,Coachella Valley Water District (Mid-Valley Water Reclamation Plant No. 4) (Treatment Plant),['CA0104973'],56700.0,Treatment Plant,9.9,Riverside,CA
6000000083,6000000083t2,Coachella Valley Water District (Mid-Valley Water Reclamation Plant No. 4) (Water Reuse),['CA0104973'],56700.0,Water Reuse,9.9,Riverside,CA
