IR_PARAMETER_DESC,PARENT_CATEGORY,SUB_CATEGORY
Indicator Bacteria,Pathogens,
Aluminum,Metals,
"Oxygen, Dissolved",Uncategorized,
Mercury,Metals,
Sedimentation/Siltation,Non-dissolved Solids,
Dioxin Toxic Equivalents,Toxic Organics,Toxic Organic Snippets
PCBs (Polychlorinated biphenyls),Toxic Organics,Toxic Organic Compounts
Sediment,Non-dissolved Solids,
pH,pH,case-sensitive
"Temperature, water",Temperature,
Turbidity,Color,
Specific Conductivity,Dissolved Solids,
Diazinon,Toxic Organics,Toxic Organic Compounts
Phosphorus,Nutrients,Phosphorus
Manganese,Metals,
Cyanobacteria hepatotoxic microcystins,Metals,
Nutrients,Nutrients,General
Organic Enrichment/Low Dissolved Oxygen,Dissolved Oxygen,
Invasive Species,Other,
Total Dissolved Solids,Dissolved Solids,
Arsenic,Metals,
Biostimulatory Conditions,Other,
Nickel,Metals,
Copper,Metals,
Boron,Inorganics,
pH (high),pH,case-sensitive
Eutrophication,Nutrients,General
Chlordane,Toxic Organics,Toxic Organic Compounts
DDT (Dichlorodiphenyltrichloroethane),Toxic Organics,Toxic Organic Compounts
Dieldrin,Toxic Organics,Toxic Organic Compounts
"Dioxin compounds (including 2,3,7,8-TCDD)",Toxic Organics,Toxic Organic Snippets
Furan Compounds,Toxic Organics,Toxic Organic Compounts
PAHs (Polycyclic Aromatic Hydrocarbons),Toxic Organics,Toxic Organic Compounts
Selenium,Metals,
Toxicity,Total Toxics,
Ammonia,Nutrients,Nitrogen
Hydrogen Sulfide,Toxic Inorganics,
Trash,Other,
Lead,Metals,
Silver,Metals,
Zinc,Metals,
"Total DDT (sum of 4,4'- and 2,4'- isomers of DDT, DDE, and DDD)",Toxic Organics,Toxic Organic Snippets
Heptachlor epoxide,Toxic Organics,Toxic Organic Snippets
Toxaphene,Toxic Organics,Toxic Organic Snippets
Salinity/TDS/Chlorides,Dissolved Solids,
PCBs (Polychlorinated biphenyls) (sediment),Toxic Organics,Toxic Organic Compounts
Chloride,Dissolved Solids,
PCBs (Polychlorinated biphenyls) (dioxin-like),Toxic Organics,Toxic Organic Snippets
Fipronil,Toxic Organics,Toxic Organic Compounts
Bifenthrin,Toxic Organics,Toxic Organic Compounts
Cypermethrin,Toxic Organics,Toxic Organic Snippets
Pyrethroids,Toxic Organics,Toxic Organic Compounts
