NPDES_CODE,num_parameters
CA0053619,0.0
CA0053716,0.0
CA0053911,0.0
CA0053953,0.0
CA0054097,0.0
CA0054216,1.0
CA0054313,1.0
CA0055221,0.0
CA0056227,0.0
CA0055531,0.0
CA0056014,1.0
CA0107492,1.0
CA0048194,2.0
CA0053856,1.0
CA0053597,3.0
CA0105023,1.0
CA0105295,1.0
CA0105350,1.0
CA8000383,0.0
CA0104400,1.0
CA0104841,0.0
CA0004995,0.0
CA0022730,1.0
CA0022748,0.0
CA0022888,0.0
CA0023043,1.0
CA0023671,1.0
CA0037966,0.0
CA0038016,3.0
CA0047364,0.0
CA0047830,1.0
CA0047856,0.0
CA0048143,0.0
CA0048151,0.0
CA0048160,0.0
CA0048551,1.0
CA0049224,0.0
CA0077682,1.0
CA0077691,0.0
CA0077704,1.0
CA0078441,0.0
CA0078891,0.0
CA0078948,1.0
CA0079081,0.0
CA0079138,0.0
CA0079154,0.0
CA0079235,0.0
CA0079260,0.0
CA0079588,1.0
CA0079651,1.0
CA0079731,0.0
CA0079901,0.0
CA0081507,1.0
CA0082589,0.0
CA0082660,0.0
CA0084271,1.0
CA8000326,0.0
CA8000409,0.0
CA0038067,0.0
CA0104451,0.0
CA0048003,0.0
CA0022756,0.0
CA0022870,0.0
CA0023078,0.0
CA0024040,0.0
CA0037427,0.0
CA0037664,0.0
CA0037788,0.0
CA0037800,1.0
CA0037885,0.0
CA0038121,0.0
CA0038318,1.0
CA0047899,0.0
CA0047902,1.0
CA0047953,0.0
CA0047961,0.0
CA0048054,0.0
CA0048127,1.0
CA0048216,0.0
CA0048828,0.0
CA0054372,1.0
CA0104370,0.0
CA0104426,1.0
CA0104477,0.0
CA0104493,0.0
CA0104523,0.0
CA0105015,0.0
CA0107395,0.0
CA0107409,0.0
CA0107417,0.0
CA0107433,1.0
CA0107611,0.0
CA0108031,0.0
CA0109045,0.0
CA0110604,0.0
CA3000001,0.0
CA7000009,1.0
CA0037648,0.0
CA0054119,0.0
CA0078051,0.0
CA0105619,0.0
CAC448871,0.0
CA0109991,3.0
CA0053961,0.0
CA0056294,0.0
CA0102822,0.0
CA0105376,0.0
CA8000027,1.0
CA8000304,0.0
CA0038776,0.0
CA0104264,0.0
CA0104361,0.0
CA0104973,0.0
CA0105007,0.0
CA0053651,0.0
CA0037826,1.0
CA0047996,0.0
CA0078999,0.0
CA0085146,0.0
CAC422026,0.0
CAC425238,0.0
CAC426201,0.0
CAC429451,0.0
CAC432817,0.0
CAC433255,0.0
CAC433345,1.0
CAC439621,0.0
CA0022713,0.0
CA0023027,0.0
CA0023639,1.0
CA0024490,0.0
CA0037532,0.0
CA0037541,0.0
CA0037559,1.0
CA0037699,1.0
CA0037711,0.0
CA0037753,0.0
CA0037796,0.0
CA0037810,0.0
CA0037842,0.0
CA0037851,1.0
CA0038091,0.0
CA0038369,0.0
CA0038547,0.0
CA0038598,1.0
CA0053813,0.0
CA0077844,2.0
CA0079049,0.0
CA0079464,0.0
CA0081213,1.0
CA0081744,4.0
CAC439983,0.0
CA0006017,0.0
CA0037575,0.0
CA0037621,1.0
CA0037702,0.0
CA0037770,0.0
CA0037834,0.0
CA0037958,0.0
CA0038024,0.0
CA0038130,0.0
CA0038628,0.0
CA0038768,0.0
CA1000001,0.0
CA0054011,0.0
CA0085359,0.0
CA0024449,0.0
CA0048941,1.0
CA0022721,1.0
CA0023345,0.0
CA0024058,0.0
CA0077836,0.0
CA0077895,0.0
CA0077950,0.0
CA0078590,2.0
CA0079219,0.0
CA0079511,1.0
CA0081558,0.0
CA0081574,0.0
CA0081621,0.0
CA0081759,3.0
CA0083771,1.0
CA0085201,0.0
CA0085235,0.0
CA0085260,0.0
CA0102695,1.0
CA8000316,1.0
CAC439953,0.0
CAC439955,0.0
CAC441902,0.0
CAC443249,0.0
CAC444735,1.0
CA0037681,0.0
CA0023060,0.0
CA0037613,0.0
CA0038008,0.0
CA0025135,0.0
CA0078981,3.0
CA0084476,0.0
CA0084620,0.0
CA0022764,0.0
CA0078093,0.0
CA3000002,0.0
